index,repo,repoType,sizeUsers,group,groupSize
00,netlify/netlify-cms,Organization,4635,commenter,351
00,netlify/netlify-cms,Organization,4635,developer-merger,99
00,netlify/netlify-cms,Organization,4635,reporter-commenter-cheerleader,164
00,netlify/netlify-cms,Organization,4635,developer-reporter-merger-commenter-cheerleader,40
00,netlify/netlify-cms,Organization,4635,developer-reporter,7
00,netlify/netlify-cms,Organization,4635,developer-reviewer-commenter-cheerleader,5
00,netlify/netlify-cms,Organization,4635,reporter,398
00,netlify/netlify-cms,Organization,4635,reporter-cheerleader,218
00,netlify/netlify-cms,Organization,4635,commenter-cheerleader,433
00,netlify/netlify-cms,Organization,4635,developer-reporter-merger-commenter,4
00,netlify/netlify-cms,Organization,4635,developer-merger-commenter-cheerleader,33
00,netlify/netlify-cms,Organization,4635,reporter-commenter,49
00,netlify/netlify-cms,Organization,4635,developer-merger-reviewer-commenter-cheerleader,26
00,netlify/netlify-cms,Organization,4635,developer,61
00,netlify/netlify-cms,Organization,4635,developer-reporter-merger-reviewer-commenter-cheerleader,35
00,netlify/netlify-cms,Organization,4635,developer-reporter-merger,9
00,netlify/netlify-cms,Organization,4635,developer-reporter-commenter-cheerleader,19
00,netlify/netlify-cms,Organization,4635,developer-reporter-merger-cheerleader,12
00,netlify/netlify-cms,Organization,4635,developer-commenter,5
00,netlify/netlify-cms,Organization,4635,developer-cheerleader,16
00,netlify/netlify-cms,Organization,4635,developer-reporter-merger-reviewer-cheerleader,5
00,netlify/netlify-cms,Organization,4635,merger,1
00,netlify/netlify-cms,Organization,4635,developer-reporter-reviewer-commenter,1
00,netlify/netlify-cms,Organization,4635,developer-merger-commenter,9
00,netlify/netlify-cms,Organization,4635,reviewer-commenter-cheerleader,8
00,netlify/netlify-cms,Organization,4635,developer-merger-reviewer,6
00,netlify/netlify-cms,Organization,4635,developer-merger-cheerleader,36
00,netlify/netlify-cms,Organization,4635,developer-merger-reviewer-cheerleader,8
00,netlify/netlify-cms,Organization,4635,developer-reporter-reviewer-cheerleader,2
00,netlify/netlify-cms,Organization,4635,developer-commenter-cheerleader,7
