index,repo,repoType,sizeUsers,developers,reporters,mergers,reviewers,commenters,cheerleaders,developer_actions,reporter_actions,merger_actions,reviewer_actions,commenter_actions,cheerleader_actions,developer_actions_perc,reporter_actions_perc,merger_actions_perc,reviewer_actions_perc,commenter_actions_perc,cheerleader_actions_perc
00,netlify/netlify-cms,Organization,4635,484,991,340,136,1214,3604,6001,4035,1564,5351,11133,12914,0.1464,0.0984,0.0381,0.1305,0.2715,0.3150
01,sindresorhus/got,User,1349,194,576,117,66,395,735,2165,2272,371,3943,4570,2558,0.1363,0.1431,0.0234,0.2483,0.2878,0.1611
02,sindresorhus/ky,User,370,75,113,51,42,95,261,407,340,84,1048,909,783,0.1140,0.0952,0.0235,0.2935,0.2546,0.2193
03,sindresorhus/np,User,779,107,236,72,50,261,539,692,742,143,1483,1627,1304,0.1155,0.1239,0.0239,0.2475,0.2716,0.2177
04,filamentgroup/tablesaw,Organization,417,42,215,12,0,164,73,642,403,29,0,587,107,0.3631,0.2279,0.0164,0.0000,0.3320,0.0605
05,pastelsky/bundlephobia,User,573,41,311,13,5,107,275,353,505,28,23,497,455,0.1897,0.2714,0.0150,0.0124,0.2671,0.2445
06,sindresorhus/query-string,User,498,104,142,46,28,117,232,401,246,55,275,544,280,0.2227,0.1366,0.0305,0.1527,0.3021,0.1555
07,angular-translate/angular-translate,Organization,2099,242,985,36,4,680,532,2405,3487,102,24,6556,699,0.1812,0.2627,0.0077,0.0018,0.4939,0.0527
08,mysticatea/npm-run-all,User,548,39,120,14,2,100,400,350,294,24,8,434,521,0.2146,0.1803,0.0147,0.0049,0.2661,0.3194
09,ngx-translate/core,Organization,5304,157,871,82,47,1524,3852,741,2023,110,213,4123,6389,0.0545,0.1488,0.0081,0.0157,0.3032,0.4698
10,sindresorhus/speed-test,User,112,15,39,3,2,36,36,74,75,3,8,139,47,0.2139,0.2168,0.0087,0.0231,0.4017,0.1358
11,vuejs/eslint-plugin-vue,Organization,3023,140,506,103,56,508,2429,1184,1363,499,1866,2382,4263,0.1024,0.1179,0.0432,0.1615,0.2061,0.3689
12,niieani/hashids.js,User,189,20,59,7,1,55,96,584,126,27,1,250,144,0.5159,0.1113,0.0239,0.0009,0.2208,0.1272
13,sindresorhus/ow,User,118,33,41,20,18,47,57,328,180,80,506,428,140,0.1974,0.1083,0.0481,0.3045,0.2575,0.0842
14,sindresorhus/modern-normalize,User,292,15,18,8,4,33,269,77,44,11,10,91,390,0.1236,0.0706,0.0177,0.0161,0.1461,0.6260
15,sindresorhus/type-fest,User,139,39,43,27,20,45,88,219,144,48,533,376,242,0.1402,0.0922,0.0307,0.3412,0.2407,0.1549
16,ocombe/ocLazyLoad,User,585,44,305,16,1,223,112,413,936,17,2,1292,146,0.1472,0.3336,0.0061,0.0007,0.4604,0.0520
17,sindresorhus/electron-store,User,384,21,106,11,6,101,226,92,229,12,37,298,280,0.0970,0.2416,0.0127,0.0390,0.3143,0.2954
18,sindresorhus/trash,User,111,22,68,10,6,33,13,163,156,13,39,202,16,0.2767,0.2649,0.0221,0.0662,0.3430,0.0272
19,reactopt/reactopt,Organization,37,8,12,4,0,8,17,165,15,65,0,12,20,0.5957,0.0542,0.2347,0.0000,0.0433,0.0722
20,sindresorhus/slugify,User,75,25,22,14,6,21,32,82,36,16,83,89,60,0.2240,0.0984,0.0437,0.2268,0.2432,0.1639
21,sandoche/Darkmode.js,User,79,14,37,2,3,29,26,104,70,12,8,88,37,0.3260,0.2194,0.0376,0.0251,0.2759,0.1160
22,sindresorhus/fast-cli,User,100,19,30,10,5,22,50,73,45,10,41,89,61,0.2288,0.1411,0.0313,0.1285,0.2790,0.1912
23,yeoman/update-notifier,Organization,202,67,83,35,11,72,62,332,161,48,100,355,85,0.3071,0.1489,0.0444,0.0925,0.3284,0.0786
24,susam/texme,User,16,4,9,1,2,5,3,85,12,1,7,25,5,0.6296,0.0889,0.0074,0.0519,0.1852,0.0370
25,sindresorhus/on-change,User,69,16,29,12,3,13,34,121,65,20,80,103,41,0.2814,0.1512,0.0465,0.1860,0.2395,0.0953
26,bokub/chalk-animation,User,14,8,6,4,1,3,8,60,12,7,4,29,12,0.4839,0.0968,0.0565,0.0323,0.2339,0.0968
27,airtap/airtap,Organization,58,47,12,11,8,12,16,1005,272,145,441,330,276,0.4070,0.1102,0.0587,0.1786,0.1337,0.1118
28,teenyicons/teenyicons,Organization,7,2,5,0,0,1,1,41,10,0,0,6,3,0.6833,0.1667,0.0000,0.0000,0.1000,0.0500
29,tulios/kafkajs,User,466,89,225,3,37,147,245,2654,959,389,1470,1437,703,0.3487,0.1260,0.0511,0.1931,0.1888,0.0924
30,sindresorhus/pageres-cli,User,17,17,0,3,2,1,0,228,0,3,4,20,0,0.8941,0.0000,0.0118,0.0157,0.0784,0.0000
31,sindresorhus/p-queue,User,195,38,63,27,18,55,109,161,127,35,311,239,196,0.1506,0.1188,0.0327,0.2909,0.2236,0.1833
32,sindresorhus/emittery,User,95,21,15,13,9,21,63,115,64,23,197,181,103,0.1684,0.0937,0.0337,0.2884,0.2650,0.1508
33,styfle/packagephobia,User,63,13,29,2,4,27,29,1251,135,484,136,717,96,0.4438,0.0479,0.1717,0.0482,0.2543,0.0341
34,ankeetmaini/react-infinite-scroll-component,User,498,41,116,8,7,165,292,240,198,51,47,402,433,0.1751,0.1444,0.0372,0.0343,0.2932,0.3158
35,sindresorhus/is,User,111,34,33,31,24,41,62,268,136,61,603,353,197,0.1656,0.0841,0.0377,0.3727,0.2182,0.1218
36,sindresorhus/capture-website,User,56,18,21,11,10,19,16,103,46,15,182,102,18,0.2210,0.0987,0.0322,0.3906,0.2189,0.0386
37,afc163/fanyi,User,70,12,34,2,1,19,24,157,59,7,2,64,33,0.4876,0.1832,0.0217,0.0062,0.1988,0.1025
38,sierra-library/sierra,Organization,55,13,31,4,2,13,16,160,63,5,4,102,28,0.4420,0.1740,0.0138,0.0110,0.2818,0.0773
39,Annihil/github-spray,User,10,3,6,1,0,1,4,28,12,2,0,10,9,0.4590,0.1967,0.0328,0.0000,0.1639,0.1475
40,sindresorhus/electron-util,User,27,16,13,14,6,4,11,110,28,16,83,47,23,0.3583,0.0912,0.0521,0.2704,0.1531,0.0749
41,sindresorhus/terminal-image,User,34,10,14,4,6,12,15,63,32,9,135,91,26,0.1770,0.0899,0.0253,0.3792,0.2556,0.0730
42,mysticatea/eslint-plugin-node,User,271,47,103,30,7,59,143,459,307,43,53,312,199,0.3343,0.2236,0.0313,0.0386,0.2272,0.1449
43,sindresorhus/node-module-boilerplate,User,17,12,6,5,4,4,4,52,14,5,25,39,4,0.3741,0.1007,0.0360,0.1799,0.2806,0.0288
44,sindresorhus/react-extras,User,23,9,7,7,3,4,9,56,10,8,11,26,13,0.4516,0.0806,0.0645,0.0887,0.2097,0.1048
45,waud/waud,Organization,26,4,21,1,0,5,4,652,56,7,0,46,4,0.8523,0.0732,0.0092,0.0000,0.0601,0.0052
46,sindresorhus/conf,User,147,53,51,28,29,42,55,242,101,38,722,279,111,0.1621,0.0676,0.0255,0.4836,0.1869,0.0743
47,ziyasal/scientist.js,User,10,4,1,1,0,3,6,37,1,1,0,3,6,0.7708,0.0208,0.0208,0.0000,0.0625,0.1250
48,nastyox/Rando.js,User,13,5,7,1,0,2,9,161,9,1,0,18,15,0.7892,0.0441,0.0049,0.0000,0.0882,0.0735
49,nikhilk/node-tensorflow,User,52,8,15,1,2,16,21,68,52,2,10,68,31,0.2944,0.2251,0.0087,0.0433,0.2944,0.1342
50,sindresorhus/pretty-ms,User,51,20,26,16,8,12,13,105,50,19,62,67,18,0.3271,0.1558,0.0592,0.1931,0.2087,0.0561
51,madlabsinc/mevn-cli,Organization,72,45,14,22,7,42,10,974,129,90,134,209,39,0.6184,0.0819,0.0571,0.0851,0.1327,0.0248
52,sindresorhus/capture-website-cli,User,26,10,12,6,4,5,7,42,25,8,44,31,7,0.2675,0.1592,0.0510,0.2803,0.1975,0.0446
53,75lb/command-line-args,User,97,16,71,5,0,17,15,448,211,10,0,228,20,0.4885,0.2301,0.0109,0.0000,0.2486,0.0218
54,sindresorhus/crypto-hash,User,16,8,9,4,2,2,3,32,12,5,31,15,4,0.3232,0.1212,0.0505,0.3131,0.1515,0.0404
55,sindresorhus/strip-json-comments,User,41,20,18,8,4,11,2,102,38,8,9,61,2,0.4636,0.1727,0.0364,0.0409,0.2773,0.0091
56,sindresorhus/normalize-url,User,115,50,50,26,14,34,28,214,117,36,163,214,39,0.2733,0.1494,0.0460,0.2082,0.2733,0.0498
