index,repo,repoType,path,count
02,sindresorhus/ky,User,CHEERLEADER,157
02,sindresorhus/ky,User,REPORTER,43
02,sindresorhus/ky,User,COMMENTER,29
02,sindresorhus/ky,User,REPORTER-CHEERLEADER,13
02,sindresorhus/ky,User,CHEERLEADER-COMMENTER,11
02,sindresorhus/ky,User,DEVELOPER,7
02,sindresorhus/ky,User,DEVELOPER-MERGER,7
02,sindresorhus/ky,User,CHEERLEADER-REPORTER,5
02,sindresorhus/ky,User,COMMENTER-CHEERLEADER,5
02,sindresorhus/ky,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,4
02,sindresorhus/ky,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,3
02,sindresorhus/ky,User,REPORTER-DEVELOPER-MERGER,2
02,sindresorhus/ky,User,REVIEWER,2
02,sindresorhus/ky,User,REPORTER-COMMENTER,2
02,sindresorhus/ky,User,REPORTER-DEVELOPER,2
02,sindresorhus/ky,User,REPORTER-CHEERLEADER-COMMENTER,2
02,sindresorhus/ky,User,DEVELOPER-CHEERLEADER,2
02,sindresorhus/ky,User,CHEERLEADER-COMMENTER-CHEERLEADER,2
02,sindresorhus/ky,User,DEVELOPER-REVIEWER-DEVELOPER-MERGER,2
02,sindresorhus/ky,User,REPORTER-DEVELOPER-REVIEWER-MERGER,2
02,sindresorhus/ky,User,CHEERLEADER-REPORTER-CHEERLEADER,2
02,sindresorhus/ky,User,DEVELOPER-MERGER-CHEERLEADER-DEVELOPER,1
02,sindresorhus/ky,User,DEVELOPER-REPORTER-DEVELOPER-COMMENTER,1
02,sindresorhus/ky,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-REPORTER,1
02,sindresorhus/ky,User,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER,1
02,sindresorhus/ky,User,REPORTER-DEVELOPER-CHEERLEADER-REVIEWER-REPORTER,1
02,sindresorhus/ky,User,CHEERLEADER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
02,sindresorhus/ky,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
02,sindresorhus/ky,User,CHEERLEADER-DEVELOPER-REVIEWER-DEVELOPER-MERGER,1
02,sindresorhus/ky,User,COMMENTER-CHEERLEADER-COMMENTER-DEVELOPER-CHEERLEADER,1
