index,repo,repoType,path,count
04,filamentgroup/tablesaw,Organization,REPORTER,175
04,filamentgroup/tablesaw,Organization,COMMENTER,117
04,filamentgroup/tablesaw,Organization,CHEERLEADER,39
04,filamentgroup/tablesaw,Organization,DEVELOPER,18
04,filamentgroup/tablesaw,Organization,CHEERLEADER-COMMENTER,11
04,filamentgroup/tablesaw,Organization,REPORTER-COMMENTER,7
04,filamentgroup/tablesaw,Organization,REPORTER-CHEERLEADER,6
04,filamentgroup/tablesaw,Organization,COMMENTER-REPORTER,5
04,filamentgroup/tablesaw,Organization,DEVELOPER-MERGER-DEVELOPER,3
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER,3
04,filamentgroup/tablesaw,Organization,CHEERLEADER-COMMENTER-CHEERLEADER,3
04,filamentgroup/tablesaw,Organization,CHEERLEADER-REPORTER,2
04,filamentgroup/tablesaw,Organization,REPORTER-COMMENTER-REPORTER-COMMENTER,2
04,filamentgroup/tablesaw,Organization,REPORTER-COMMENTER-REPORTER,1
04,filamentgroup/tablesaw,Organization,REPORTER-CHEERLEADER-COMMENTER-REPORTER-COMMENTER,1
04,filamentgroup/tablesaw,Organization,DEVELOPER-COMMENTER-CHEERLEADER,1
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER-MERGER,1
04,filamentgroup/tablesaw,Organization,COMMENTER-CHEERLEADER,1
04,filamentgroup/tablesaw,Organization,DEVELOPER-CHEERLEADER,1
04,filamentgroup/tablesaw,Organization,DEVELOPER-MERGER,1
04,filamentgroup/tablesaw,Organization,REPORTER-COMMENTER-CHEERLEADER,1
04,filamentgroup/tablesaw,Organization,DEVELOPER-COMMENTER-DEVELOPER-MERGER-DEVELOPER,1
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER-REPORTER-DEVELOPER-CHEERLEADER,1
04,filamentgroup/tablesaw,Organization,DEVELOPER-COMMENTER-DEVELOPER,1
04,filamentgroup/tablesaw,Organization,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-MERGER,1
04,filamentgroup/tablesaw,Organization,COMMENTER-DEVELOPER-COMMENTER-CHEERLEADER,1
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER-REPORTER,1
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER-MERGER-COMMENTER,1
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER-REPORTER-COMMENTER-REPORTER,1
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER-REPORTER-MERGER,1
04,filamentgroup/tablesaw,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER-COMMENTER-MERGER-REPORTER,1
04,filamentgroup/tablesaw,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER-CHEERLEADER,1
04,filamentgroup/tablesaw,Organization,REPORTER-DEVELOPER-COMMENTER-REPORTER-COMMENTER,1
04,filamentgroup/tablesaw,Organization,COMMENTER-REPORTER-COMMENTER,1
04,filamentgroup/tablesaw,Organization,MERGER-DEVELOPER,1
04,filamentgroup/tablesaw,Organization,COMMENTER-DEVELOPER-COMMENTER,1
04,filamentgroup/tablesaw,Organization,COMMENTER-CHEERLEADER-REPORTER,1
04,filamentgroup/tablesaw,Organization,DEVELOPER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
