index,repo,repoType,path,count
05,pastelsky/bundlephobia,User,REPORTER,227
05,pastelsky/bundlephobia,User,CHEERLEADER,156
05,pastelsky/bundlephobia,User,COMMENTER,36
05,pastelsky/bundlephobia,User,REPORTER-CHEERLEADER,30
05,pastelsky/bundlephobia,User,CHEERLEADER-COMMENTER,19
05,pastelsky/bundlephobia,User,DEVELOPER,12
05,pastelsky/bundlephobia,User,COMMENTER-CHEERLEADER,11
05,pastelsky/bundlephobia,User,CHEERLEADER-COMMENTER-CHEERLEADER,8
05,pastelsky/bundlephobia,User,REPORTER-CHEERLEADER-REPORTER,8
05,pastelsky/bundlephobia,User,CHEERLEADER-REPORTER,6
05,pastelsky/bundlephobia,User,REPORTER-COMMENTER,5
05,pastelsky/bundlephobia,User,REPORTER-DEVELOPER,4
05,pastelsky/bundlephobia,User,DEVELOPER-CHEERLEADER,4
05,pastelsky/bundlephobia,User,CHEERLEADER-COMMENTER-REPORTER,3
05,pastelsky/bundlephobia,User,MERGER-DEVELOPER,3
05,pastelsky/bundlephobia,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,2
05,pastelsky/bundlephobia,User,REPORTER-CHEERLEADER-COMMENTER,2
05,pastelsky/bundlephobia,User,DEVELOPER-MERGER,2
05,pastelsky/bundlephobia,User,REPORTER-COMMENTER-REPORTER,2
05,pastelsky/bundlephobia,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER,2
05,pastelsky/bundlephobia,User,CHEERLEADER-REPORTER-COMMENTER,1
05,pastelsky/bundlephobia,User,REPORTER-DEVELOPER-CHEERLEADER-DEVELOPER-MERGER,1
05,pastelsky/bundlephobia,User,REPORTER-DEVELOPER-REPORTER,1
05,pastelsky/bundlephobia,User,REPORTER-DEVELOPER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
05,pastelsky/bundlephobia,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-REVIEWER,1
05,pastelsky/bundlephobia,User,COMMENTER-REPORTER-COMMENTER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,COMMENTER-REPORTER-COMMENTER,1
05,pastelsky/bundlephobia,User,CHEERLEADER-DEVELOPER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,COMMENTER-DEVELOPER-REPORTER-DEVELOPER,1
05,pastelsky/bundlephobia,User,CHEERLEADER-DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,MERGER-DEVELOPER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,MERGER-DEVELOPER-COMMENTER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,REPORTER-MERGER-DEVELOPER-REPORTER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,COMMENTER-REPORTER,1
05,pastelsky/bundlephobia,User,COMMENTER-CHEERLEADER-COMMENTER,1
05,pastelsky/bundlephobia,User,REPORTER-COMMENTER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,REPORTER-DEVELOPER-CHEERLEADER-REPORTER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,DEVELOPER-REPORTER-COMMENTER-DEVELOPER-COMMENTER,1
05,pastelsky/bundlephobia,User,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,REVIEWER,1
05,pastelsky/bundlephobia,User,CHEERLEADER-COMMENTER-REVIEWER-REPORTER,1
05,pastelsky/bundlephobia,User,CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER,1
05,pastelsky/bundlephobia,User,CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER,1
05,pastelsky/bundlephobia,User,CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
05,pastelsky/bundlephobia,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
05,pastelsky/bundlephobia,User,DEVELOPER-CHEERLEADER-MERGER,1
05,pastelsky/bundlephobia,User,DEVELOPER-REPORTER,1
05,pastelsky/bundlephobia,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
