index,repo,repoType,path,count
07,angular-translate/angular-translate,Organization,REPORTER,771
07,angular-translate/angular-translate,Organization,COMMENTER,461
07,angular-translate/angular-translate,Organization,CHEERLEADER,438
07,angular-translate/angular-translate,Organization,DEVELOPER,123
07,angular-translate/angular-translate,Organization,COMMENTER-REPORTER,33
07,angular-translate/angular-translate,Organization,REPORTER-COMMENTER,24
07,angular-translate/angular-translate,Organization,REPORTER-COMMENTER-REPORTER,23
07,angular-translate/angular-translate,Organization,CHEERLEADER-COMMENTER,21
07,angular-translate/angular-translate,Organization,COMMENTER-CHEERLEADER,19
07,angular-translate/angular-translate,Organization,REPORTER-DEVELOPER,12
07,angular-translate/angular-translate,Organization,REPORTER-CHEERLEADER,12
07,angular-translate/angular-translate,Organization,REPORTER-DEVELOPER-REPORTER,12
07,angular-translate/angular-translate,Organization,REPORTER-COMMENTER-REPORTER-COMMENTER-REPORTER,9
07,angular-translate/angular-translate,Organization,COMMENTER-DEVELOPER,8
07,angular-translate/angular-translate,Organization,REPORTER-CHEERLEADER-REPORTER,7
07,angular-translate/angular-translate,Organization,DEVELOPER-REPORTER,6
07,angular-translate/angular-translate,Organization,COMMENTER-REPORTER-COMMENTER-REPORTER,6
07,angular-translate/angular-translate,Organization,DEVELOPER-MERGER,6
07,angular-translate/angular-translate,Organization,MERGER-DEVELOPER,5
07,angular-translate/angular-translate,Organization,REPORTER-COMMENTER-REPORTER-COMMENTER,5
07,angular-translate/angular-translate,Organization,REPORTER-DEVELOPER-REPORTER-DEVELOPER-COMMENTER,5
07,angular-translate/angular-translate,Organization,DEVELOPER-COMMENTER,5
07,angular-translate/angular-translate,Organization,REPORTER-DEVELOPER-REPORTER-DEVELOPER,4
07,angular-translate/angular-translate,Organization,DEVELOPER-MERGER-DEVELOPER,4
07,angular-translate/angular-translate,Organization,COMMENTER-REPORTER-COMMENTER,4
07,angular-translate/angular-translate,Organization,COMMENTER-REPORTER-COMMENTER-REPORTER-COMMENTER,3
07,angular-translate/angular-translate,Organization,DEVELOPER-CHEERLEADER,3
07,angular-translate/angular-translate,Organization,COMMENTER-REPORTER-CHEERLEADER,3
07,angular-translate/angular-translate,Organization,CHEERLEADER-COMMENTER-CHEERLEADER,3
07,angular-translate/angular-translate,Organization,CHEERLEADER-REPORTER,3
07,angular-translate/angular-translate,Organization,CHEERLEADER-DEVELOPER,2
07,angular-translate/angular-translate,Organization,COMMENTER-CHEERLEADER-COMMENTER,2
07,angular-translate/angular-translate,Organization,REPORTER-DEVELOPER-REPORTER-COMMENTER-DEVELOPER,2
07,angular-translate/angular-translate,Organization,DEVELOPER-REPORTER-DEVELOPER,2
07,angular-translate/angular-translate,Organization,DEVELOPER-REPORTER-DEVELOPER-COMMENTER-DEVELOPER,2
07,angular-translate/angular-translate,Organization,REPORTER-DEVELOPER-REPORTER-DEVELOPER-REPORTER,2
07,angular-translate/angular-translate,Organization,COMMENTER-DEVELOPER-COMMENTER,2
07,angular-translate/angular-translate,Organization,REPORTER-DEVELOPER-MERGER-REPORTER-DEVELOPER,2
07,angular-translate/angular-translate,Organization,COMMENTER-REPORTER-DEVELOPER,2
07,angular-translate/angular-translate,Organization,COMMENTER-REPORTER-COMMENTER-CHEERLEADER,2
