index,repo,repoType,path,count
08,mysticatea/npm-run-all,User,CHEERLEADER,322
08,mysticatea/npm-run-all,User,REPORTER,71
08,mysticatea/npm-run-all,User,COMMENTER,48
08,mysticatea/npm-run-all,User,CHEERLEADER-COMMENTER,18
08,mysticatea/npm-run-all,User,DEVELOPER,14
08,mysticatea/npm-run-all,User,REPORTER-CHEERLEADER,12
08,mysticatea/npm-run-all,User,COMMENTER-CHEERLEADER,8
08,mysticatea/npm-run-all,User,CHEERLEADER-REPORTER,7
08,mysticatea/npm-run-all,User,REPORTER-CHEERLEADER-REPORTER,4
08,mysticatea/npm-run-all,User,CHEERLEADER-COMMENTER-CHEERLEADER,4
08,mysticatea/npm-run-all,User,REPORTER-DEVELOPER,3
08,mysticatea/npm-run-all,User,REPORTER-COMMENTER,3
08,mysticatea/npm-run-all,User,DEVELOPER-CHEERLEADER,3
08,mysticatea/npm-run-all,User,CHEERLEADER-DEVELOPER,2
08,mysticatea/npm-run-all,User,CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER,1
08,mysticatea/npm-run-all,User,CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER-COMMENTER,1
08,mysticatea/npm-run-all,User,DEVELOPER-MERGER-COMMENTER,1
08,mysticatea/npm-run-all,User,COMMENTER-CHEERLEADER-REPORTER-DEVELOPER-REPORTER,1
08,mysticatea/npm-run-all,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
08,mysticatea/npm-run-all,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
08,mysticatea/npm-run-all,User,DEVELOPER-REPORTER-MERGER-DEVELOPER,1
08,mysticatea/npm-run-all,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
08,mysticatea/npm-run-all,User,CHEERLEADER-REPORTER-CHEERLEADER,1
08,mysticatea/npm-run-all,User,COMMENTER-REPORTER-CHEERLEADER-COMMENTER,1
08,mysticatea/npm-run-all,User,DEVELOPER-MERGER-DEVELOPER-COMMENTER,1
08,mysticatea/npm-run-all,User,REPORTER-DEVELOPER-MERGER-REPORTER-COMMENTER,1
08,mysticatea/npm-run-all,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-DEVELOPER,1
08,mysticatea/npm-run-all,User,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
08,mysticatea/npm-run-all,User,REPORTER-DEVELOPER-MERGER,1
08,mysticatea/npm-run-all,User,REPORTER-DEVELOPER-MERGER-DEVELOPER-REPORTER,1
08,mysticatea/npm-run-all,User,REPORTER-CHEERLEADER-COMMENTER,1
08,mysticatea/npm-run-all,User,DEVELOPER-MERGER-DEVELOPER,1
08,mysticatea/npm-run-all,User,DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER-MERGER,1
08,mysticatea/npm-run-all,User,CHEERLEADER-COMMENTER-REPORTER,1
08,mysticatea/npm-run-all,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
08,mysticatea/npm-run-all,User,DEVELOPER-MERGER,1
08,mysticatea/npm-run-all,User,COMMENTER-CHEERLEADER-REPORTER-COMMENTER-REPORTER,1
08,mysticatea/npm-run-all,User,COMMENTER-CHEERLEADER-COMMENTER-DEVELOPER-COMMENTER,1
08,mysticatea/npm-run-all,User,CHEERLEADER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
08,mysticatea/npm-run-all,User,COMMENTER-CHEERLEADER-COMMENTER,1
08,mysticatea/npm-run-all,User,REPORTER-COMMENTER-REPORTER-DEVELOPER-COMMENTER,1
08,mysticatea/npm-run-all,User,REPORTER-CHEERLEADER-DEVELOPER-MERGER,1
08,mysticatea/npm-run-all,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-DEVELOPER,1
