index,repo,repoType,path,count
09,ngx-translate/core,Organization,CHEERLEADER,3034
09,ngx-translate/core,Organization,COMMENTER,761
09,ngx-translate/core,Organization,REPORTER,510
09,ngx-translate/core,Organization,CHEERLEADER-COMMENTER,211
09,ngx-translate/core,Organization,COMMENTER-CHEERLEADER,139
09,ngx-translate/core,Organization,REPORTER-CHEERLEADER,76
09,ngx-translate/core,Organization,CHEERLEADER-COMMENTER-CHEERLEADER,74
09,ngx-translate/core,Organization,COMMENTER-CHEERLEADER-COMMENTER,36
09,ngx-translate/core,Organization,COMMENTER-REPORTER,36
09,ngx-translate/core,Organization,CHEERLEADER-REPORTER,26
09,ngx-translate/core,Organization,REPORTER-CHEERLEADER-REPORTER,25
09,ngx-translate/core,Organization,DEVELOPER,25
09,ngx-translate/core,Organization,REPORTER-COMMENTER,22
09,ngx-translate/core,Organization,DEVELOPER-MERGER,19
09,ngx-translate/core,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,18
09,ngx-translate/core,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,18
09,ngx-translate/core,Organization,REPORTER-CHEERLEADER-COMMENTER,12
09,ngx-translate/core,Organization,REPORTER-COMMENTER-REPORTER,12
09,ngx-translate/core,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,11
09,ngx-translate/core,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,9
09,ngx-translate/core,Organization,CHEERLEADER-REPORTER-CHEERLEADER,9
09,ngx-translate/core,Organization,REVIEWER,7
09,ngx-translate/core,Organization,REPORTER-DEVELOPER,7
09,ngx-translate/core,Organization,REPORTER-DEVELOPER-MERGER,5
09,ngx-translate/core,Organization,CHEERLEADER-COMMENTER-REPORTER,4
09,ngx-translate/core,Organization,REPORTER-COMMENTER-CHEERLEADER,4
09,ngx-translate/core,Organization,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,4
09,ngx-translate/core,Organization,COMMENTER-REPORTER-COMMENTER,4
09,ngx-translate/core,Organization,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,4
09,ngx-translate/core,Organization,DEVELOPER-COMMENTER,3
09,ngx-translate/core,Organization,COMMENTER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,3
09,ngx-translate/core,Organization,CHEERLEADER-REVIEWER,3
09,ngx-translate/core,Organization,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER,3
09,ngx-translate/core,Organization,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,3
09,ngx-translate/core,Organization,REPORTER-CHEERLEADER-COMMENTER-REPORTER,3
09,ngx-translate/core,Organization,CHEERLEADER-COMMENTER-REPORTER-COMMENTER-REPORTER,3
09,ngx-translate/core,Organization,REPORTER-COMMENTER-REPORTER-CHEERLEADER,2
09,ngx-translate/core,Organization,COMMENTER-REPORTER-CHEERLEADER,2
09,ngx-translate/core,Organization,COMMENTER-DEVELOPER-MERGER-COMMENTER-DEVELOPER,2
09,ngx-translate/core,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER-CHEERLEADER,2
09,ngx-translate/core,Organization,REVIEWER-CHEERLEADER,2
