index,repo,repoType,path,count
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER,2036
11,vuejs/eslint-plugin-vue,Organization,REPORTER,272
11,vuejs/eslint-plugin-vue,Organization,COMMENTER,211
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER,79
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER,48
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-CHEERLEADER,44
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-MERGER,35
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER-CHEERLEADER,27
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-REPORTER,18
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-REPORTER,16
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER,13
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-REPORTER-CHEERLEADER,11
11,vuejs/eslint-plugin-vue,Organization,REPORTER-COMMENTER,11
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-REPORTER,9
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,8
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-CHEERLEADER-COMMENTER,6
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-REPORTER-CHEERLEADER,5
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,5
11,vuejs/eslint-plugin-vue,Organization,REPORTER-COMMENTER-CHEERLEADER,5
11,vuejs/eslint-plugin-vue,Organization,REVIEWER,5
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER-REPORTER,4
11,vuejs/eslint-plugin-vue,Organization,REPORTER-COMMENTER-REPORTER,4
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,4
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,4
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-MERGER-CHEERLEADER,3
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,3
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,3
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-CHEERLEADER-REPORTER,3
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER,3
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-CHEERLEADER-MERGER,2
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-CHEERLEADER,2
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-REVIEWER,2
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER-DEVELOPER,2
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER,2
11,vuejs/eslint-plugin-vue,Organization,REPORTER-DEVELOPER,2
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-REPORTER,2
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER-REPORTER,2
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-REPORTER-COMMENTER,2
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-COMMENTER,2
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-DEVELOPER-MERGER,2
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,2
11,vuejs/eslint-plugin-vue,Organization,REPORTER-DEVELOPER-MERGER,2
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-REPORTER-COMMENTER-REPORTER,2
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,2
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-MERGER-COMMENTER-CHEERLEADER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-DEVELOPER-REPORTER-CHEERLEADER-REPORTER,1
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-DEVELOPER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-REVIEWER-CHEERLEADER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-REVIEWER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-DEVELOPER-CHEERLEADER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-DEVELOPER-REPORTER-MERGER,1
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER-REPORTER-REVIEWER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-COMMENTER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-REPORTER-DEVELOPER-CHEERLEADER-REPORTER,1
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-CHEERLEADER-COMMENTER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-REVIEWER-MERGER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-MERGER-CHEERLEADER-COMMENTER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-COMMENTER-REVIEWER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-DEVELOPER-REPORTER-MERGER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-DEVELOPER-MERGER-REVIEWER,1
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-REVIEWER-COMMENTER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,REVIEWER-REPORTER-DEVELOPER-REVIEWER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-CHEERLEADER-MERGER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-DEVELOPER-MERGER-CHEERLEADER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,REVIEWER-REPORTER-COMMENTER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-COMMENTER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-DEVELOPER-MERGER-CHEERLEADER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-CHEERLEADER-REPORTER-COMMENTER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-DEVELOPER-MERGER-REPORTER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-DEVELOPER-MERGER-DEVELOPER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-COMMENTER-REPORTER-DEVELOPER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-CHEERLEADER-COMMENTER-REVIEWER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-COMMENTER-REPORTER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-MERGER-DEVELOPER-MERGER-REPORTER,1
11,vuejs/eslint-plugin-vue,Organization,COMMENTER-DEVELOPER-MERGER,1
11,vuejs/eslint-plugin-vue,Organization,DEVELOPER-COMMENTER,1
11,vuejs/eslint-plugin-vue,Organization,REPORTER-COMMENTER-REPORTER-COMMENTER-CHEERLEADER,1
