index,repo,repoType,path,count
13,sindresorhus/ow,User,CHEERLEADER,25
13,sindresorhus/ow,User,REPORTER,23
13,sindresorhus/ow,User,COMMENTER,19
13,sindresorhus/ow,User,DEVELOPER-MERGER,4
13,sindresorhus/ow,User,DEVELOPER,4
13,sindresorhus/ow,User,REPORTER-CHEERLEADER,3
13,sindresorhus/ow,User,CHEERLEADER-COMMENTER,2
13,sindresorhus/ow,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-MERGER,2
13,sindresorhus/ow,User,CHEERLEADER-COMMENTER-CHEERLEADER,2
13,sindresorhus/ow,User,COMMENTER-DEVELOPER,2
13,sindresorhus/ow,User,COMMENTER-CHEERLEADER,2
13,sindresorhus/ow,User,COMMENTER-REVIEWER-DEVELOPER-REVIEWER-CHEERLEADER,1
13,sindresorhus/ow,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
13,sindresorhus/ow,User,DEVELOPER-REVIEWER-CHEERLEADER-REVIEWER-MERGER,1
13,sindresorhus/ow,User,DEVELOPER-REVIEWER,1
13,sindresorhus/ow,User,COMMENTER-CHEERLEADER-REPORTER,1
13,sindresorhus/ow,User,DEVELOPER-COMMENTER,1
13,sindresorhus/ow,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-COMMENTER,1
13,sindresorhus/ow,User,DEVELOPER-COMMENTER-DEVELOPER-REVIEWER,1
13,sindresorhus/ow,User,COMMENTER-DEVELOPER-COMMENTER-REVIEWER-DEVELOPER,1
13,sindresorhus/ow,User,CHEERLEADER-DEVELOPER-REVIEWER-MERGER-REPORTER,1
13,sindresorhus/ow,User,COMMENTER-CHEERLEADER-REVIEWER-CHEERLEADER-DEVELOPER,1
13,sindresorhus/ow,User,CHEERLEADER-REPORTER,1
13,sindresorhus/ow,User,COMMENTER-REPORTER-CHEERLEADER,1
13,sindresorhus/ow,User,REVIEWER,1
13,sindresorhus/ow,User,DEVELOPER-MERGER-CHEERLEADER,1
13,sindresorhus/ow,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
13,sindresorhus/ow,User,COMMENTER-REPORTER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
13,sindresorhus/ow,User,COMMENTER-DEVELOPER-REVIEWER-DEVELOPER-COMMENTER,1
13,sindresorhus/ow,User,CHEERLEADER-COMMENTER-REVIEWER-COMMENTER-CHEERLEADER,1
13,sindresorhus/ow,User,DEVELOPER-REVIEWER-DEVELOPER-MERGER-CHEERLEADER,1
13,sindresorhus/ow,User,REPORTER-DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER,1
13,sindresorhus/ow,User,COMMENTER-REPORTER,1
13,sindresorhus/ow,User,COMMENTER-DEVELOPER-COMMENTER,1
13,sindresorhus/ow,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
13,sindresorhus/ow,User,DEVELOPER-REVIEWER-COMMENTER-CHEERLEADER-REVIEWER,1
13,sindresorhus/ow,User,REPORTER-DEVELOPER-COMMENTER-MERGER-REPORTER,1
13,sindresorhus/ow,User,CHEERLEADER-DEVELOPER-MERGER-CHEERLEADER,1
13,sindresorhus/ow,User,COMMENTER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
13,sindresorhus/ow,User,CHEERLEADER-COMMENTER-DEVELOPER-COMMENTER-REVIEWER,1
13,sindresorhus/ow,User,REPORTER-REVIEWER-CHEERLEADER-COMMENTER-CHEERLEADER,1
