index,repo,repoType,path,count
14,sindresorhus/modern-normalize,User,CHEERLEADER,234
14,sindresorhus/modern-normalize,User,COMMENTER,11
14,sindresorhus/modern-normalize,User,CHEERLEADER-COMMENTER,6
14,sindresorhus/modern-normalize,User,REPORTER-CHEERLEADER,5
14,sindresorhus/modern-normalize,User,REPORTER,5
14,sindresorhus/modern-normalize,User,CHEERLEADER-COMMENTER-CHEERLEADER,5
14,sindresorhus/modern-normalize,User,DEVELOPER-MERGER,4
14,sindresorhus/modern-normalize,User,COMMENTER-CHEERLEADER-COMMENTER,3
14,sindresorhus/modern-normalize,User,CHEERLEADER-DEVELOPER,3
14,sindresorhus/modern-normalize,User,DEVELOPER-CHEERLEADER,2
14,sindresorhus/modern-normalize,User,DEVELOPER-REPORTER-CHEERLEADER-COMMENTER-MERGER,1
14,sindresorhus/modern-normalize,User,DEVELOPER,1
14,sindresorhus/modern-normalize,User,CHEERLEADER-REPORTER,1
14,sindresorhus/modern-normalize,User,COMMENTER-REVIEWER-COMMENTER-CHEERLEADER,1
14,sindresorhus/modern-normalize,User,REPORTER-COMMENTER,1
14,sindresorhus/modern-normalize,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
14,sindresorhus/modern-normalize,User,COMMENTER-CHEERLEADER,1
14,sindresorhus/modern-normalize,User,DEVELOPER-MERGER-REPORTER-DEVELOPER-REVIEWER,1
14,sindresorhus/modern-normalize,User,REPORTER-COMMENTER-REPORTER-CHEERLEADER-REPORTER,1
14,sindresorhus/modern-normalize,User,CHEERLEADER-REPORTER-CHEERLEADER,1
14,sindresorhus/modern-normalize,User,REPORTER-CHEERLEADER-COMMENTER,1
14,sindresorhus/modern-normalize,User,DEVELOPER-REVIEWER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
14,sindresorhus/modern-normalize,User,DEVELOPER-REPORTER-DEVELOPER-REPORTER-COMMENTER,1
14,sindresorhus/modern-normalize,User,DEVELOPER-MERGER-CHEERLEADER,1
