index,repo,repoType,path,count
15,sindresorhus/type-fest,User,CHEERLEADER,45
15,sindresorhus/type-fest,User,REPORTER,16
15,sindresorhus/type-fest,User,COMMENTER,12
15,sindresorhus/type-fest,User,DEVELOPER-MERGER,8
15,sindresorhus/type-fest,User,REPORTER-CHEERLEADER,4
15,sindresorhus/type-fest,User,CHEERLEADER-COMMENTER,4
15,sindresorhus/type-fest,User,DEVELOPER,4
15,sindresorhus/type-fest,User,CHEERLEADER-COMMENTER-CHEERLEADER,3
15,sindresorhus/type-fest,User,COMMENTER-CHEERLEADER,2
15,sindresorhus/type-fest,User,DEVELOPER-REVIEWER-MERGER,2
15,sindresorhus/type-fest,User,CHEERLEADER-REPORTER,2
15,sindresorhus/type-fest,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
15,sindresorhus/type-fest,User,DEVELOPER-REVIEWER-CHEERLEADER-DEVELOPER-COMMENTER,1
15,sindresorhus/type-fest,User,COMMENTER-REPORTER-CHEERLEADER-COMMENTER-REPORTER,1
15,sindresorhus/type-fest,User,DEVELOPER-CHEERLEADER-DEVELOPER-MERGER-CHEERLEADER,1
15,sindresorhus/type-fest,User,COMMENTER-DEVELOPER-COMMENTER,1
15,sindresorhus/type-fest,User,DEVELOPER-CHEERLEADER-MERGER-REPORTER,1
15,sindresorhus/type-fest,User,CHEERLEADER-DEVELOPER-MERGER-REVIEWER,1
15,sindresorhus/type-fest,User,DEVELOPER-REVIEWER-MERGER-CHEERLEADER,1
15,sindresorhus/type-fest,User,COMMENTER-CHEERLEADER-COMMENTER-DEVELOPER-REVIEWER,1
15,sindresorhus/type-fest,User,REVIEWER-COMMENTER-DEVELOPER-MERGER-COMMENTER,1
15,sindresorhus/type-fest,User,COMMENTER-REPORTER-COMMENTER,1
15,sindresorhus/type-fest,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
15,sindresorhus/type-fest,User,REPORTER-CHEERLEADER-REPORTER,1
15,sindresorhus/type-fest,User,REPORTER-CHEERLEADER-REPORTER-DEVELOPER-MERGER,1
15,sindresorhus/type-fest,User,DEVELOPER-CHEERLEADER,1
15,sindresorhus/type-fest,User,DEVELOPER-MERGER-COMMENTER,1
15,sindresorhus/type-fest,User,REVIEWER-CHEERLEADER-REPORTER-REVIEWER,1
15,sindresorhus/type-fest,User,REPORTER-DEVELOPER-REVIEWER-DEVELOPER,1
15,sindresorhus/type-fest,User,REPORTER-COMMENTER-REPORTER-CHEERLEADER,1
15,sindresorhus/type-fest,User,DEVELOPER-REVIEWER-DEVELOPER,1
15,sindresorhus/type-fest,User,COMMENTER-REPORTER-COMMENTER-REPORTER-CHEERLEADER,1
15,sindresorhus/type-fest,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
15,sindresorhus/type-fest,User,DEVELOPER-MERGER-DEVELOPER-REVIEWER-DEVELOPER,1
15,sindresorhus/type-fest,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
15,sindresorhus/type-fest,User,DEVELOPER-CHEERLEADER-DEVELOPER-MERGER-COMMENTER,1
15,sindresorhus/type-fest,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
15,sindresorhus/type-fest,User,CHEERLEADER-REVIEWER-CHEERLEADER-REPORTER-CHEERLEADER,1
15,sindresorhus/type-fest,User,REPORTER-COMMENTER-CHEERLEADER,1
15,sindresorhus/type-fest,User,REPORTER-CHEERLEADER-REPORTER-DEVELOPER-REPORTER,1
15,sindresorhus/type-fest,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
15,sindresorhus/type-fest,User,COMMENTER-CHEERLEADER-COMMENTER,1
15,sindresorhus/type-fest,User,DEVELOPER-COMMENTER-REVIEWER-COMMENTER-REVIEWER,1
15,sindresorhus/type-fest,User,DEVELOPER-COMMENTER,1
15,sindresorhus/type-fest,User,DEVELOPER-COMMENTER-CHEERLEADER-DEVELOPER-REVIEWER,1
15,sindresorhus/type-fest,User,REPORTER-COMMENTER,1
15,sindresorhus/type-fest,User,DEVELOPER-REVIEWER,1
15,sindresorhus/type-fest,User,COMMENTER-DEVELOPER-CHEERLEADER-DEVELOPER-MERGER,1
