index,repo,repoType,path,count
16,ocombe/ocLazyLoad,User,REPORTER,246
16,ocombe/ocLazyLoad,User,COMMENTER,158
16,ocombe/ocLazyLoad,User,CHEERLEADER,80
16,ocombe/ocLazyLoad,User,DEVELOPER,12
16,ocombe/ocLazyLoad,User,COMMENTER-REPORTER,9
16,ocombe/ocLazyLoad,User,REPORTER-COMMENTER,9
16,ocombe/ocLazyLoad,User,REPORTER-COMMENTER-REPORTER,5
16,ocombe/ocLazyLoad,User,CHEERLEADER-COMMENTER,5
16,ocombe/ocLazyLoad,User,COMMENTER-CHEERLEADER,5
16,ocombe/ocLazyLoad,User,COMMENTER-DEVELOPER-COMMENTER,3
16,ocombe/ocLazyLoad,User,DEVELOPER-MERGER-DEVELOPER,3
16,ocombe/ocLazyLoad,User,DEVELOPER-MERGER,3
16,ocombe/ocLazyLoad,User,REPORTER-CHEERLEADER,3
16,ocombe/ocLazyLoad,User,COMMENTER-CHEERLEADER-COMMENTER,2
16,ocombe/ocLazyLoad,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER,2
16,ocombe/ocLazyLoad,User,CHEERLEADER-REPORTER,2
16,ocombe/ocLazyLoad,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-REPORTER,2
16,ocombe/ocLazyLoad,User,CHEERLEADER-COMMENTER-CHEERLEADER,2
16,ocombe/ocLazyLoad,User,REPORTER-DEVELOPER,2
16,ocombe/ocLazyLoad,User,REPORTER-COMMENTER-REPORTER-COMMENTER,2
16,ocombe/ocLazyLoad,User,COMMENTER-REPORTER-COMMENTER,2
16,ocombe/ocLazyLoad,User,REPORTER-CHEERLEADER-REPORTER,2
16,ocombe/ocLazyLoad,User,REPORTER-CHEERLEADER-COMMENTER-REPORTER,1
16,ocombe/ocLazyLoad,User,COMMENTER-REPORTER-COMMENTER-CHEERLEADER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-COMMENTER-DEVELOPER-MERGER-DEVELOPER,1
16,ocombe/ocLazyLoad,User,COMMENTER-CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER,1
16,ocombe/ocLazyLoad,User,COMMENTER-DEVELOPER,1
16,ocombe/ocLazyLoad,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-MERGER-DEVELOPER-COMMENTER-DEVELOPER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-REPORTER-DEVELOPER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-MERGER-COMMENTER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-COMMENTER,1
16,ocombe/ocLazyLoad,User,REPORTER-DEVELOPER-MERGER,1
16,ocombe/ocLazyLoad,User,REPORTER-COMMENTER-REPORTER-COMMENTER-REPORTER,1
16,ocombe/ocLazyLoad,User,COMMENTER-DEVELOPER-MERGER-COMMENTER-DEVELOPER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-REPORTER,1
16,ocombe/ocLazyLoad,User,REPORTER-COMMENTER-CHEERLEADER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
16,ocombe/ocLazyLoad,User,REPORTER-DEVELOPER-COMMENTER,1
16,ocombe/ocLazyLoad,User,REPORTER-COMMENTER-REPORTER-CHEERLEADER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-REPORTER-DEVELOPER-COMMENTER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-MERGER-REPORTER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-REPORTER-COMMENTER-DEVELOPER-COMMENTER,1
16,ocombe/ocLazyLoad,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-COMMENTER,1
16,ocombe/ocLazyLoad,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
16,ocombe/ocLazyLoad,User,CHEERLEADER-REPORTER-CHEERLEADER,1
16,ocombe/ocLazyLoad,User,REPORTER-COMMENTER-REPORTER-DEVELOPER-REPORTER,1
16,ocombe/ocLazyLoad,User,DEVELOPER-REPORTER-COMMENTER,1
