index,repo,repoType,path,count
17,sindresorhus/electron-store,User,CHEERLEADER,174
17,sindresorhus/electron-store,User,REPORTER,78
17,sindresorhus/electron-store,User,COMMENTER,58
17,sindresorhus/electron-store,User,CHEERLEADER-COMMENTER,17
17,sindresorhus/electron-store,User,REPORTER-CHEERLEADER,9
17,sindresorhus/electron-store,User,COMMENTER-CHEERLEADER,8
17,sindresorhus/electron-store,User,DEVELOPER-MERGER,5
17,sindresorhus/electron-store,User,DEVELOPER,5
17,sindresorhus/electron-store,User,REPORTER-COMMENTER,3
17,sindresorhus/electron-store,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,2
17,sindresorhus/electron-store,User,CHEERLEADER-COMMENTER-CHEERLEADER,2
17,sindresorhus/electron-store,User,REPORTER-DEVELOPER-MERGER,2
17,sindresorhus/electron-store,User,CHEERLEADER-REPORTER,2
17,sindresorhus/electron-store,User,COMMENTER-REPORTER-DEVELOPER-REPORTER,1
17,sindresorhus/electron-store,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
17,sindresorhus/electron-store,User,CHEERLEADER-REVIEWER-CHEERLEADER,1
17,sindresorhus/electron-store,User,REPORTER-CHEERLEADER-COMMENTER,1
17,sindresorhus/electron-store,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
17,sindresorhus/electron-store,User,REPORTER-COMMENTER-CHEERLEADER-REPORTER-DEVELOPER,1
17,sindresorhus/electron-store,User,REPORTER-CHEERLEADER-REPORTER,1
17,sindresorhus/electron-store,User,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-CHEERLEADER,1
17,sindresorhus/electron-store,User,REPORTER-COMMENTER-CHEERLEADER,1
17,sindresorhus/electron-store,User,DEVELOPER-REVIEWER,1
17,sindresorhus/electron-store,User,REPORTER-COMMENTER-REPORTER-CHEERLEADER,1
17,sindresorhus/electron-store,User,REVIEWER,1
17,sindresorhus/electron-store,User,CHEERLEADER-DEVELOPER-REVIEWER-CHEERLEADER-REVIEWER,1
17,sindresorhus/electron-store,User,REPORTER-DEVELOPER-REPORTER-REVIEWER-MERGER,1
17,sindresorhus/electron-store,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
17,sindresorhus/electron-store,User,COMMENTER-REPORTER,1
17,sindresorhus/electron-store,User,COMMENTER-CHEERLEADER-COMMENTER,1
17,sindresorhus/electron-store,User,COMMENTER-REPORTER-DEVELOPER-MERGER,1
17,sindresorhus/electron-store,User,DEVELOPER-MERGER-DEVELOPER-MERGER,1
