index,repo,repoType,path,count
18,sindresorhus/trash,User,REPORTER,55
18,sindresorhus/trash,User,COMMENTER,21
18,sindresorhus/trash,User,DEVELOPER,5
18,sindresorhus/trash,User,CHEERLEADER,5
18,sindresorhus/trash,User,COMMENTER-REPORTER,2
18,sindresorhus/trash,User,CHEERLEADER-COMMENTER,2
18,sindresorhus/trash,User,REPORTER-CHEERLEADER,2
18,sindresorhus/trash,User,DEVELOPER-MERGER,2
18,sindresorhus/trash,User,DEVELOPER-REPORTER,1
18,sindresorhus/trash,User,DEVELOPER-MERGER-DEVELOPER-MERGER,1
18,sindresorhus/trash,User,DEVELOPER-COMMENTER-DEVELOPER-REVIEWER,1
18,sindresorhus/trash,User,COMMENTER-DEVELOPER-COMMENTER,1
18,sindresorhus/trash,User,REPORTER-CHEERLEADER-REPORTER,1
18,sindresorhus/trash,User,DEVELOPER-REVIEWER-MERGER,1
18,sindresorhus/trash,User,REPORTER-DEVELOPER-REPORTER-MERGER-DEVELOPER,1
18,sindresorhus/trash,User,REPORTER-DEVELOPER-MERGER-COMMENTER-REVIEWER,1
18,sindresorhus/trash,User,DEVELOPER-MERGER-DEVELOPER-COMMENTER-DEVELOPER,1
18,sindresorhus/trash,User,REPORTER-DEVELOPER,1
18,sindresorhus/trash,User,REPORTER-COMMENTER-DEVELOPER-REVIEWER-DEVELOPER,1
18,sindresorhus/trash,User,DEVELOPER-CHEERLEADER-MERGER-CHEERLEADER,1
18,sindresorhus/trash,User,DEVELOPER-REPORTER-DEVELOPER-COMMENTER-DEVELOPER,1
18,sindresorhus/trash,User,COMMENTER-DEVELOPER,1
18,sindresorhus/trash,User,DEVELOPER-REPORTER-DEVELOPER,1
18,sindresorhus/trash,User,COMMENTER-DEVELOPER-MERGER-COMMENTER,1
18,sindresorhus/trash,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
