index,repo,repoType,path,count
20,sindresorhus/slugify,User,REPORTER,15
20,sindresorhus/slugify,User,CHEERLEADER,15
20,sindresorhus/slugify,User,COMMENTER,10
20,sindresorhus/slugify,User,DEVELOPER,6
20,sindresorhus/slugify,User,DEVELOPER-MERGER,6
20,sindresorhus/slugify,User,REPORTER-CHEERLEADER,3
20,sindresorhus/slugify,User,REPORTER-CHEERLEADER-REPORTER,2
20,sindresorhus/slugify,User,CHEERLEADER-COMMENTER,2
20,sindresorhus/slugify,User,COMMENTER-CHEERLEADER,1
20,sindresorhus/slugify,User,COMMENTER-CHEERLEADER-DEVELOPER-MERGER,1
20,sindresorhus/slugify,User,DEVELOPER-CHEERLEADER-DEVELOPER-MERGER,1
20,sindresorhus/slugify,User,DEVELOPER-REVIEWER-MERGER-DEVELOPER-MERGER,1
20,sindresorhus/slugify,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
20,sindresorhus/slugify,User,DEVELOPER-REVIEWER,1
20,sindresorhus/slugify,User,COMMENTER-DEVELOPER-COMMENTER-MERGER-DEVELOPER,1
20,sindresorhus/slugify,User,DEVELOPER-CHEERLEADER-MERGER-CHEERLEADER,1
20,sindresorhus/slugify,User,DEVELOPER-REVIEWER-CHEERLEADER-REVIEWER-CHEERLEADER,1
20,sindresorhus/slugify,User,CHEERLEADER-DEVELOPER-COMMENTER-DEVELOPER-COMMENTER,1
20,sindresorhus/slugify,User,CHEERLEADER-COMMENTER-CHEERLEADER-DEVELOPER,1
20,sindresorhus/slugify,User,REVIEWER-CHEERLEADER,1
20,sindresorhus/slugify,User,REPORTER-COMMENTER,1
20,sindresorhus/slugify,User,DEVELOPER-COMMENTER-REVIEWER-COMMENTER-DEVELOPER,1
20,sindresorhus/slugify,User,DEVELOPER-CHEERLEADER,1
20,sindresorhus/slugify,User,COMMENTER-DEVELOPER,1
