index,repo,repoType,path,count
21,sandoche/Darkmode.js,User,REPORTER,27
21,sandoche/Darkmode.js,User,COMMENTER,14
21,sandoche/Darkmode.js,User,CHEERLEADER,7
21,sandoche/Darkmode.js,User,DEVELOPER,6
21,sandoche/Darkmode.js,User,REPORTER-CHEERLEADER,5
21,sandoche/Darkmode.js,User,CHEERLEADER-COMMENTER,3
21,sandoche/Darkmode.js,User,COMMENTER-CHEERLEADER,2
21,sandoche/Darkmode.js,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,2
21,sandoche/Darkmode.js,User,DEVELOPER-CHEERLEADER,1
21,sandoche/Darkmode.js,User,REPORTER-REVIEWER-COMMENTER-CHEERLEADER-REPORTER,1
21,sandoche/Darkmode.js,User,DEVELOPER-COMMENTER-DEVELOPER,1
21,sandoche/Darkmode.js,User,DEVELOPER-COMMENTER,1
21,sandoche/Darkmode.js,User,DEVELOPER-MERGER-DEVELOPER,1
21,sandoche/Darkmode.js,User,REPORTER-CHEERLEADER-REPORTER,1
21,sandoche/Darkmode.js,User,COMMENTER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
21,sandoche/Darkmode.js,User,REVIEWER,1
21,sandoche/Darkmode.js,User,DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER,1
21,sandoche/Darkmode.js,User,COMMENTER-DEVELOPER-CHEERLEADER,1
21,sandoche/Darkmode.js,User,DEVELOPER-REPORTER-COMMENTER-MERGER-COMMENTER,1
21,sandoche/Darkmode.js,User,COMMENTER-REPORTER-COMMENTER,1
21,sandoche/Darkmode.js,User,CHEERLEADER-DEVELOPER-COMMENTER-CHEERLEADER,1
