index,repo,repoType,path,count
22,sindresorhus/fast-cli,User,CHEERLEADER,35
22,sindresorhus/fast-cli,User,REPORTER,23
22,sindresorhus/fast-cli,User,COMMENTER,13
22,sindresorhus/fast-cli,User,DEVELOPER,6
22,sindresorhus/fast-cli,User,DEVELOPER-MERGER,5
22,sindresorhus/fast-cli,User,REPORTER-CHEERLEADER,5
22,sindresorhus/fast-cli,User,CHEERLEADER-COMMENTER,2
22,sindresorhus/fast-cli,User,DEVELOPER-CHEERLEADER-REVIEWER-DEVELOPER-CHEERLEADER,1
22,sindresorhus/fast-cli,User,DEVELOPER-MERGER-CHEERLEADER,1
22,sindresorhus/fast-cli,User,DEVELOPER-REVIEWER-MERGER,1
22,sindresorhus/fast-cli,User,REPORTER-DEVELOPER-REPORTER-CHEERLEADER-COMMENTER,1
22,sindresorhus/fast-cli,User,COMMENTER-CHEERLEADER,1
22,sindresorhus/fast-cli,User,DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER-REVIEWER,1
22,sindresorhus/fast-cli,User,COMMENTER-DEVELOPER-COMMENTER-REVIEWER-COMMENTER,1
22,sindresorhus/fast-cli,User,COMMENTER-CHEERLEADER-COMMENTER,1
22,sindresorhus/fast-cli,User,CHEERLEADER-COMMENTER-CHEERLEADER,1
22,sindresorhus/fast-cli,User,DEVELOPER-COMMENTER-REPORTER-DEVELOPER-COMMENTER,1
22,sindresorhus/fast-cli,User,COMMENTER-CHEERLEADER-DEVELOPER,1
