index,repo,repoType,path,count
23,yeoman/update-notifier,Organization,REPORTER,50
23,yeoman/update-notifier,Organization,COMMENTER,35
23,yeoman/update-notifier,Organization,CHEERLEADER,27
23,yeoman/update-notifier,Organization,DEVELOPER,19
23,yeoman/update-notifier,Organization,CHEERLEADER-COMMENTER,7
23,yeoman/update-notifier,Organization,REPORTER-CHEERLEADER,7
23,yeoman/update-notifier,Organization,DEVELOPER-MERGER,6
23,yeoman/update-notifier,Organization,REPORTER-DEVELOPER,3
23,yeoman/update-notifier,Organization,COMMENTER-CHEERLEADER,3
23,yeoman/update-notifier,Organization,REPORTER-DEVELOPER-MERGER,3
23,yeoman/update-notifier,Organization,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-COMMENTER,2
23,yeoman/update-notifier,Organization,DEVELOPER-MERGER-DEVELOPER,2
23,yeoman/update-notifier,Organization,REPORTER-COMMENTER-REPORTER,2
23,yeoman/update-notifier,Organization,REPORTER-DEVELOPER-MERGER-DEVELOPER,1
23,yeoman/update-notifier,Organization,REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
23,yeoman/update-notifier,Organization,DEVELOPER-MERGER-CHEERLEADER-REPORTER-CHEERLEADER,1
23,yeoman/update-notifier,Organization,CHEERLEADER-COMMENTER-DEVELOPER-CHEERLEADER-DEVELOPER,1
23,yeoman/update-notifier,Organization,COMMENTER-DEVELOPER-MERGER-DEVELOPER,1
23,yeoman/update-notifier,Organization,COMMENTER-DEVELOPER-COMMENTER,1
23,yeoman/update-notifier,Organization,DEVELOPER-CHEERLEADER-DEVELOPER,1
23,yeoman/update-notifier,Organization,DEVELOPER-CHEERLEADER-COMMENTER-DEVELOPER-MERGER,1
23,yeoman/update-notifier,Organization,COMMENTER-REPORTER-DEVELOPER-MERGER,1
23,yeoman/update-notifier,Organization,DEVELOPER-REVIEWER-DEVELOPER-MERGER-CHEERLEADER,1
23,yeoman/update-notifier,Organization,DEVELOPER-CHEERLEADER-COMMENTER,1
23,yeoman/update-notifier,Organization,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER,1
23,yeoman/update-notifier,Organization,REPORTER-DEVELOPER-REPORTER-MERGER-REPORTER,1
23,yeoman/update-notifier,Organization,DEVELOPER-COMMENTER-REVIEWER-MERGER,1
23,yeoman/update-notifier,Organization,CHEERLEADER-DEVELOPER-REVIEWER-MERGER-DEVELOPER,1
23,yeoman/update-notifier,Organization,COMMENTER-DEVELOPER-REPORTER-CHEERLEADER-DEVELOPER,1
23,yeoman/update-notifier,Organization,COMMENTER-DEVELOPER-REVIEWER-MERGER-DEVELOPER,1
23,yeoman/update-notifier,Organization,CHEERLEADER-COMMENTER-DEVELOPER-MERGER-CHEERLEADER,1
23,yeoman/update-notifier,Organization,DEVELOPER-MERGER-REVIEWER,1
23,yeoman/update-notifier,Organization,REPORTER-COMMENTER-DEVELOPER-MERGER-CHEERLEADER,1
23,yeoman/update-notifier,Organization,COMMENTER-REPORTER-DEVELOPER-COMMENTER,1
23,yeoman/update-notifier,Organization,REPORTER-DEVELOPER-REPORTER,1
23,yeoman/update-notifier,Organization,REPORTER-COMMENTER-CHEERLEADER,1
23,yeoman/update-notifier,Organization,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
23,yeoman/update-notifier,Organization,COMMENTER-REPORTER-CHEERLEADER,1
23,yeoman/update-notifier,Organization,DEVELOPER-COMMENTER,1
23,yeoman/update-notifier,Organization,DEVELOPER-CHEERLEADER,1
23,yeoman/update-notifier,Organization,REPORTER-DEVELOPER-REPORTER-DEVELOPER-MERGER,1
23,yeoman/update-notifier,Organization,COMMENTER-DEVELOPER-MERGER-REPORTER-DEVELOPER,1
23,yeoman/update-notifier,Organization,DEVELOPER-REPORTER-COMMENTER-DEVELOPER-COMMENTER,1
23,yeoman/update-notifier,Organization,DEVELOPER-REVIEWER-MERGER-CHEERLEADER-DEVELOPER,1
23,yeoman/update-notifier,Organization,REPORTER-COMMENTER,1
23,yeoman/update-notifier,Organization,COMMENTER-DEVELOPER-REVIEWER-CHEERLEADER-MERGER,1
23,yeoman/update-notifier,Organization,DEVELOPER-MERGER-CHEERLEADER,1
23,yeoman/update-notifier,Organization,COMMENTER-DEVELOPER-MERGER-COMMENTER,1
23,yeoman/update-notifier,Organization,COMMENTER-REPORTER,1
