index,repo,repoType,path,count
25,sindresorhus/on-change,User,CHEERLEADER,24
25,sindresorhus/on-change,User,REPORTER,19
25,sindresorhus/on-change,User,DEVELOPER-MERGER,5
25,sindresorhus/on-change,User,COMMENTER,4
25,sindresorhus/on-change,User,REPORTER-CHEERLEADER,3
25,sindresorhus/on-change,User,REPORTER-DEVELOPER,2
25,sindresorhus/on-change,User,COMMENTER-DEVELOPER-CHEERLEADER,1
25,sindresorhus/on-change,User,DEVELOPER-MERGER-DEVELOPER-MERGER,1
25,sindresorhus/on-change,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
25,sindresorhus/on-change,User,DEVELOPER-MERGER-DEVELOPER-REVIEWER-DEVELOPER,1
25,sindresorhus/on-change,User,REPORTER-COMMENTER,1
25,sindresorhus/on-change,User,DEVELOPER-MERGER-DEVELOPER,1
25,sindresorhus/on-change,User,COMMENTER-DEVELOPER-MERGER,1
25,sindresorhus/on-change,User,COMMENTER-REPORTER,1
25,sindresorhus/on-change,User,DEVELOPER-MERGER-COMMENTER-REVIEWER-DEVELOPER,1
25,sindresorhus/on-change,User,REPORTER-COMMENTER-DEVELOPER-MERGER-REPORTER,1
25,sindresorhus/on-change,User,DEVELOPER-COMMENTER-DEVELOPER-REPORTER-COMMENTER,1
25,sindresorhus/on-change,User,DEVELOPER-COMMENTER-MERGER-COMMENTER-CHEERLEADER,1
