index,repo,repoType,path,count
27,airtap/airtap,Organization,DEVELOPER,33
27,airtap/airtap,Organization,REPORTER,4
27,airtap/airtap,Organization,CHEERLEADER,4
27,airtap/airtap,Organization,DEVELOPER-MERGER,2
27,airtap/airtap,Organization,DEVELOPER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
27,airtap/airtap,Organization,COMMENTER,1
27,airtap/airtap,Organization,DEVELOPER-COMMENTER-CHEERLEADER-REVIEWER-DEVELOPER,1
27,airtap/airtap,Organization,CHEERLEADER-COMMENTER-REVIEWER-CHEERLEADER-REVIEWER,1
27,airtap/airtap,Organization,DEVELOPER-COMMENTER-CHEERLEADER,1
27,airtap/airtap,Organization,REPORTER-COMMENTER-REPORTER-COMMENTER-DEVELOPER,1
27,airtap/airtap,Organization,COMMENTER-CHEERLEADER-COMMENTER,1
27,airtap/airtap,Organization,DEVELOPER-COMMENTER-DEVELOPER-CHEERLEADER-DEVELOPER,1
27,airtap/airtap,Organization,DEVELOPER-CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER,1
27,airtap/airtap,Organization,REPORTER-CHEERLEADER,1
27,airtap/airtap,Organization,DEVELOPER-CHEERLEADER,1
27,airtap/airtap,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-REVIEWER-CHEERLEADER,1
27,airtap/airtap,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-DEVELOPER,1
27,airtap/airtap,Organization,REPORTER-CHEERLEADER-REPORTER-DEVELOPER-CHEERLEADER,1
27,airtap/airtap,Organization,DEVELOPER-MERGER-DEVELOPER-REPORTER-CHEERLEADER,1
