index,repo,repoType,path,count
29,tulios/kafkajs,User,CHEERLEADER,114
29,tulios/kafkajs,User,REPORTER,106
29,tulios/kafkajs,User,COMMENTER,54
29,tulios/kafkajs,User,REPORTER-CHEERLEADER,22
29,tulios/kafkajs,User,COMMENTER-CHEERLEADER,15
29,tulios/kafkajs,User,DEVELOPER,14
29,tulios/kafkajs,User,COMMENTER-REPORTER,11
29,tulios/kafkajs,User,REPORTER-CHEERLEADER-REPORTER,7
29,tulios/kafkajs,User,CHEERLEADER-COMMENTER,6
29,tulios/kafkajs,User,REPORTER-DEVELOPER-REPORTER,5
29,tulios/kafkajs,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,4
29,tulios/kafkajs,User,REPORTER-COMMENTER,4
29,tulios/kafkajs,User,REPORTER-DEVELOPER,4
29,tulios/kafkajs,User,DEVELOPER-CHEERLEADER,4
29,tulios/kafkajs,User,CHEERLEADER-REPORTER,4
29,tulios/kafkajs,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER,3
29,tulios/kafkajs,User,DEVELOPER-REVIEWER,3
29,tulios/kafkajs,User,COMMENTER-CHEERLEADER-REPORTER,3
29,tulios/kafkajs,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,3
29,tulios/kafkajs,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,2
29,tulios/kafkajs,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-REPORTER,2
29,tulios/kafkajs,User,COMMENTER-CHEERLEADER-COMMENTER,2
29,tulios/kafkajs,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,2
29,tulios/kafkajs,User,CHEERLEADER-COMMENTER-CHEERLEADER,2
29,tulios/kafkajs,User,CHEERLEADER-DEVELOPER-CHEERLEADER,2
29,tulios/kafkajs,User,REPORTER-COMMENTER-REPORTER-COMMENTER-REPORTER,2
29,tulios/kafkajs,User,DEVELOPER-CHEERLEADER-DEVELOPER-REPORTER-DEVELOPER,2
29,tulios/kafkajs,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,2
29,tulios/kafkajs,User,DEVELOPER-COMMENTER,2
29,tulios/kafkajs,User,COMMENTER-REPORTER-CHEERLEADER-REPORTER-DEVELOPER,2
29,tulios/kafkajs,User,REPORTER-DEVELOPER-REVIEWER-DEVELOPER,2
29,tulios/kafkajs,User,DEVELOPER-REVIEWER-CHEERLEADER,2
