index,repo,repoType,path,count
31,sindresorhus/p-queue,User,CHEERLEADER,71
31,sindresorhus/p-queue,User,REPORTER,36
31,sindresorhus/p-queue,User,COMMENTER,19
31,sindresorhus/p-queue,User,DEVELOPER,8
31,sindresorhus/p-queue,User,DEVELOPER-MERGER,6
31,sindresorhus/p-queue,User,CHEERLEADER-COMMENTER,6
31,sindresorhus/p-queue,User,COMMENTER-CHEERLEADER,5
31,sindresorhus/p-queue,User,REPORTER-CHEERLEADER,3
31,sindresorhus/p-queue,User,REPORTER-CHEERLEADER-REPORTER,3
31,sindresorhus/p-queue,User,REPORTER-COMMENTER,3
31,sindresorhus/p-queue,User,CHEERLEADER-REPORTER,2
31,sindresorhus/p-queue,User,DEVELOPER-COMMENTER-MERGER,2
31,sindresorhus/p-queue,User,DEVELOPER-REVIEWER-MERGER-REVIEWER-DEVELOPER,1
31,sindresorhus/p-queue,User,CHEERLEADER-REPORTER-CHEERLEADER,1
31,sindresorhus/p-queue,User,COMMENTER-REPORTER-DEVELOPER-MERGER-CHEERLEADER,1
31,sindresorhus/p-queue,User,REPORTER-DEVELOPER-MERGER,1
31,sindresorhus/p-queue,User,DEVELOPER-COMMENTER-DEVELOPER-MERGER,1
31,sindresorhus/p-queue,User,CHEERLEADER-DEVELOPER-REVIEWER-MERGER,1
31,sindresorhus/p-queue,User,DEVELOPER-REVIEWER-CHEERLEADER-REVIEWER-DEVELOPER,1
31,sindresorhus/p-queue,User,COMMENTER-REPORTER-REVIEWER-COMMENTER,1
31,sindresorhus/p-queue,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-DEVELOPER,1
31,sindresorhus/p-queue,User,CHEERLEADER-DEVELOPER,1
31,sindresorhus/p-queue,User,REPORTER-CHEERLEADER-COMMENTER,1
31,sindresorhus/p-queue,User,DEVELOPER-REVIEWER-MERGER-COMMENTER-DEVELOPER,1
31,sindresorhus/p-queue,User,REVIEWER-CHEERLEADER,1
31,sindresorhus/p-queue,User,COMMENTER-REVIEWER-DEVELOPER-MERGER,1
31,sindresorhus/p-queue,User,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
31,sindresorhus/p-queue,User,COMMENTER-CHEERLEADER-COMMENTER,1
31,sindresorhus/p-queue,User,REPORTER-CHEERLEADER-COMMENTER-REPORTER,1
31,sindresorhus/p-queue,User,REPORTER-COMMENTER-REPORTER-DEVELOPER-MERGER,1
31,sindresorhus/p-queue,User,REPORTER-COMMENTER-DEVELOPER-COMMENTER-REPORTER,1
31,sindresorhus/p-queue,User,DEVELOPER-MERGER-DEVELOPER-COMMENTER,1
31,sindresorhus/p-queue,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-CHEERLEADER,1
31,sindresorhus/p-queue,User,DEVELOPER-MERGER-REPORTER-CHEERLEADER,1
31,sindresorhus/p-queue,User,REPORTER-DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER,1
31,sindresorhus/p-queue,User,DEVELOPER-REVIEWER-MERGER-DEVELOPER,1
31,sindresorhus/p-queue,User,REPORTER-CHEERLEADER-REPORTER-COMMENTER-REPORTER,1
31,sindresorhus/p-queue,User,DEVELOPER-COMMENTER-REVIEWER-CHEERLEADER-REVIEWER,1
31,sindresorhus/p-queue,User,CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER-DEVELOPER,1
31,sindresorhus/p-queue,User,DEVELOPER-COMMENTER-DEVELOPER-REVIEWER-COMMENTER,1
31,sindresorhus/p-queue,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-MERGER,1
31,sindresorhus/p-queue,User,REVIEWER,1
31,sindresorhus/p-queue,User,REPORTER-COMMENTER-DEVELOPER-REVIEWER-CHEERLEADER,1
