index,repo,repoType,path,count
32,sindresorhus/emittery,User,CHEERLEADER,48
32,sindresorhus/emittery,User,REPORTER,10
32,sindresorhus/emittery,User,COMMENTER,10
32,sindresorhus/emittery,User,DEVELOPER-MERGER,5
32,sindresorhus/emittery,User,DEVELOPER,4
32,sindresorhus/emittery,User,COMMENTER-CHEERLEADER,2
32,sindresorhus/emittery,User,REPORTER-CHEERLEADER,2
32,sindresorhus/emittery,User,CHEERLEADER-REVIEWER,1
32,sindresorhus/emittery,User,DEVELOPER-MERGER-CHEERLEADER,1
32,sindresorhus/emittery,User,COMMENTER-CHEERLEADER-DEVELOPER-REVIEWER-MERGER,1
32,sindresorhus/emittery,User,CHEERLEADER-DEVELOPER-CHEERLEADER,1
32,sindresorhus/emittery,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REVIEWER,1
32,sindresorhus/emittery,User,COMMENTER-DEVELOPER-COMMENTER-REVIEWER-DEVELOPER,1
32,sindresorhus/emittery,User,DEVELOPER-COMMENTER-CHEERLEADER-COMMENTER-MERGER,1
32,sindresorhus/emittery,User,DEVELOPER-CHEERLEADER-COMMENTER-MERGER,1
32,sindresorhus/emittery,User,DEVELOPER-REVIEWER-CHEERLEADER-DEVELOPER-MERGER,1
32,sindresorhus/emittery,User,REVIEWER,1
32,sindresorhus/emittery,User,REPORTER-DEVELOPER-MERGER-COMMENTER-REPORTER,1
32,sindresorhus/emittery,User,DEVELOPER-COMMENTER,1
32,sindresorhus/emittery,User,DEVELOPER-REPORTER-COMMENTER-DEVELOPER-COMMENTER,1
32,sindresorhus/emittery,User,DEVELOPER-COMMENTER-REVIEWER-DEVELOPER-REVIEWER,1
