index,repo,repoType,path,count
33,styfle/packagephobia,User,REPORTER,12
33,styfle/packagephobia,User,COMMENTER,12
33,styfle/packagephobia,User,CHEERLEADER,9
33,styfle/packagephobia,User,REPORTER-CHEERLEADER,6
33,styfle/packagephobia,User,DEVELOPER,4
33,styfle/packagephobia,User,CHEERLEADER-COMMENTER,3
33,styfle/packagephobia,User,REPORTER-COMMENTER,3
33,styfle/packagephobia,User,CHEERLEADER-COMMENTER-DEVELOPER,1
33,styfle/packagephobia,User,DEVELOPER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
33,styfle/packagephobia,User,DEVELOPER-COMMENTER-DEVELOPER-REVIEWER-DEVELOPER,1
33,styfle/packagephobia,User,CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER-REPORTER,1
33,styfle/packagephobia,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
33,styfle/packagephobia,User,REPORTER-DEVELOPER-COMMENTER-CHEERLEADER,1
33,styfle/packagephobia,User,DEVELOPER-CHEERLEADER-DEVELOPER-CHEERLEADER-DEVELOPER,1
33,styfle/packagephobia,User,DEVELOPER-COMMENTER,1
33,styfle/packagephobia,User,COMMENTER-CHEERLEADER,1
33,styfle/packagephobia,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-DEVELOPER,1
33,styfle/packagephobia,User,REPORTER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
33,styfle/packagephobia,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
33,styfle/packagephobia,User,DEVELOPER-MERGER-DEVELOPER-MERGER-REPORTER,1
33,styfle/packagephobia,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
