index,repo,repoType,path,count
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER,209
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER,91
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER,82
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-COMMENTER,22
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER,16
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-CHEERLEADER,14
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-CHEERLEADER,7
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-COMMENTER-CHEERLEADER,6
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-COMMENTER,3
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-CHEERLEADER-COMMENTER,3
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-REPORTER,2
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER-MERGER,2
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-DEVELOPER,2
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,2
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,2
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-DEVELOPER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-COMMENTER-CHEERLEADER-COMMENTER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-REVIEWER,1
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-DEVELOPER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-DEVELOPER-REPORTER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-CHEERLEADER-REPORTER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-DEVELOPER-REPORTER-CHEERLEADER,1
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-REPORTER-CHEERLEADER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-COMMENTER-DEVELOPER,1
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER-REVIEWER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER-MERGER-DEVELOPER-COMMENTER-MERGER,1
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-CHEERLEADER-DEVELOPER-COMMENTER,1
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-DEVELOPER-CHEERLEADER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-COMMENTER-REPORTER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-COMMENTER-REPORTER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-REPORTER-CHEERLEADER-DEVELOPER-COMMENTER,1
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-DEVELOPER-COMMENTER-REVIEWER-DEVELOPER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-REVIEWER-COMMENTER-REPORTER-REVIEWER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-DEVELOPER-REPORTER-DEVELOPER-COMMENTER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-DEVELOPER-CHEERLEADER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-DEVELOPER-COMMENTER,1
34,ankeetmaini/react-infinite-scroll-component,User,CHEERLEADER-REPORTER,1
34,ankeetmaini/react-infinite-scroll-component,User,REVIEWER,1
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER-CHEERLEADER-MERGER,1
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-MERGER,1
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER-MERGER-DEVELOPER-MERGER-DEVELOPER,1
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER-COMMENTER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER-COMMENTER-DEVELOPER-MERGER,1
34,ankeetmaini/react-infinite-scroll-component,User,DEVELOPER-CHEERLEADER-DEVELOPER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-CHEERLEADER-REPORTER-COMMENTER-CHEERLEADER,1
34,ankeetmaini/react-infinite-scroll-component,User,REPORTER-DEVELOPER-REVIEWER-MERGER,1
34,ankeetmaini/react-infinite-scroll-component,User,COMMENTER-CHEERLEADER-REPORTER,1
