index,repo,repoType,path,count
35,sindresorhus/is,User,CHEERLEADER,29
35,sindresorhus/is,User,REPORTER,15
35,sindresorhus/is,User,COMMENTER,15
35,sindresorhus/is,User,DEVELOPER-MERGER,4
35,sindresorhus/is,User,COMMENTER-CHEERLEADER,4
35,sindresorhus/is,User,REPORTER-CHEERLEADER,3
35,sindresorhus/is,User,DEVELOPER-MERGER-DEVELOPER,2
35,sindresorhus/is,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-MERGER,2
35,sindresorhus/is,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-DEVELOPER,2
35,sindresorhus/is,User,CHEERLEADER-COMMENTER,2
35,sindresorhus/is,User,DEVELOPER,1
35,sindresorhus/is,User,COMMENTER-DEVELOPER-CHEERLEADER-DEVELOPER-REVIEWER,1
35,sindresorhus/is,User,COMMENTER-CHEERLEADER-COMMENTER-DEVELOPER-CHEERLEADER,1
35,sindresorhus/is,User,REPORTER-COMMENTER,1
35,sindresorhus/is,User,REPORTER-CHEERLEADER-REPORTER,1
35,sindresorhus/is,User,DEVELOPER-CHEERLEADER-DEVELOPER-CHEERLEADER-DEVELOPER,1
35,sindresorhus/is,User,COMMENTER-DEVELOPER-REVIEWER-MERGER,1
35,sindresorhus/is,User,REVIEWER-CHEERLEADER-REVIEWER-CHEERLEADER-REVIEWER,1
35,sindresorhus/is,User,REPORTER-DEVELOPER-MERGER-REPORTER,1
35,sindresorhus/is,User,COMMENTER-CHEERLEADER-COMMENTER-DEVELOPER-COMMENTER,1
35,sindresorhus/is,User,REVIEWER-CHEERLEADER-COMMENTER,1
35,sindresorhus/is,User,REVIEWER-COMMENTER-REVIEWER-COMMENTER-REPORTER,1
35,sindresorhus/is,User,DEVELOPER-REVIEWER-DEVELOPER-MERGER,1
35,sindresorhus/is,User,DEVELOPER-MERGER-COMMENTER-CHEERLEADER-DEVELOPER,1
35,sindresorhus/is,User,REVIEWER-REPORTER-DEVELOPER-REPORTER-REVIEWER,1
35,sindresorhus/is,User,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-CHEERLEADER,1
35,sindresorhus/is,User,DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER-MERGER,1
35,sindresorhus/is,User,REPORTER-CHEERLEADER-DEVELOPER-REVIEWER-MERGER,1
35,sindresorhus/is,User,COMMENTER-DEVELOPER-MERGER,1
35,sindresorhus/is,User,DEVELOPER-CHEERLEADER-MERGER,1
35,sindresorhus/is,User,REVIEWER-REPORTER,1
35,sindresorhus/is,User,DEVELOPER-MERGER-CHEERLEADER-DEVELOPER-REVIEWER,1
35,sindresorhus/is,User,DEVELOPER-REVIEWER-DEVELOPER-MERGER-DEVELOPER,1
35,sindresorhus/is,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
35,sindresorhus/is,User,DEVELOPER-CHEERLEADER,1
35,sindresorhus/is,User,REPORTER-DEVELOPER-REVIEWER-MERGER-DEVELOPER,1
35,sindresorhus/is,User,MERGER-DEVELOPER-CHEERLEADER,1
35,sindresorhus/is,User,DEVELOPER-REPORTER-COMMENTER-REPORTER-COMMENTER,1
35,sindresorhus/is,User,CHEERLEADER-REVIEWER-CHEERLEADER,1
35,sindresorhus/is,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
35,sindresorhus/is,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
35,sindresorhus/is,User,COMMENTER-DEVELOPER-MERGER-CHEERLEADER,1
35,sindresorhus/is,User,CHEERLEADER-DEVELOPER-COMMENTER-DEVELOPER-REVIEWER,1
