index,repo,repoType,path,count
36,sindresorhus/capture-website,User,REPORTER,16
36,sindresorhus/capture-website,User,COMMENTER,8
36,sindresorhus/capture-website,User,CHEERLEADER,8
36,sindresorhus/capture-website,User,DEVELOPER-MERGER,4
36,sindresorhus/capture-website,User,COMMENTER-REVIEWER,2
36,sindresorhus/capture-website,User,CHEERLEADER-COMMENTER,2
36,sindresorhus/capture-website,User,DEVELOPER-REVIEWER-MERGER,2
36,sindresorhus/capture-website,User,COMMENTER-REPORTER-CHEERLEADER,1
36,sindresorhus/capture-website,User,DEVELOPER,1
36,sindresorhus/capture-website,User,COMMENTER-DEVELOPER-REVIEWER-DEVELOPER,1
36,sindresorhus/capture-website,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
36,sindresorhus/capture-website,User,REPORTER-DEVELOPER,1
36,sindresorhus/capture-website,User,COMMENTER-CHEERLEADER,1
36,sindresorhus/capture-website,User,DEVELOPER-MERGER-REVIEWER-COMMENTER-DEVELOPER,1
36,sindresorhus/capture-website,User,COMMENTER-DEVELOPER-CHEERLEADER-DEVELOPER-REVIEWER,1
36,sindresorhus/capture-website,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
36,sindresorhus/capture-website,User,REPORTER-DEVELOPER-REPORTER-REVIEWER-DEVELOPER,1
36,sindresorhus/capture-website,User,DEVELOPER-MERGER-CHEERLEADER,1
36,sindresorhus/capture-website,User,DEVELOPER-COMMENTER-REPORTER-DEVELOPER-REPORTER,1
36,sindresorhus/capture-website,User,DEVELOPER-CHEERLEADER-DEVELOPER-MERGER,1
36,sindresorhus/capture-website,User,DEVELOPER-CHEERLEADER-DEVELOPER,1
