index,repo,repoType,path,count
37,afc163/fanyi,User,REPORTER,23
37,afc163/fanyi,User,CHEERLEADER,16
37,afc163/fanyi,User,COMMENTER,8
37,afc163/fanyi,User,DEVELOPER,6
37,afc163/fanyi,User,REPORTER-CHEERLEADER,3
37,afc163/fanyi,User,REPORTER-COMMENTER-REPORTER,2
37,afc163/fanyi,User,DEVELOPER-COMMENTER-DEVELOPER,1
37,afc163/fanyi,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
37,afc163/fanyi,User,COMMENTER-CHEERLEADER,1
37,afc163/fanyi,User,REPORTER-COMMENTER-REPORTER-COMMENTER,1
37,afc163/fanyi,User,COMMENTER-DEVELOPER,1
37,afc163/fanyi,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-COMMENTER,1
37,afc163/fanyi,User,REPORTER-DEVELOPER,1
37,afc163/fanyi,User,DEVELOPER-MERGER,1
37,afc163/fanyi,User,CHEERLEADER-REPORTER,1
37,afc163/fanyi,User,CHEERLEADER-COMMENTER,1
37,afc163/fanyi,User,COMMENTER-REPORTER,1
37,afc163/fanyi,User,COMMENTER-REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
