index,repo,repoType,path,count
42,mysticatea/eslint-plugin-node,User,CHEERLEADER,95
42,mysticatea/eslint-plugin-node,User,REPORTER,57
42,mysticatea/eslint-plugin-node,User,COMMENTER,32
42,mysticatea/eslint-plugin-node,User,DEVELOPER-MERGER,12
42,mysticatea/eslint-plugin-node,User,DEVELOPER,8
42,mysticatea/eslint-plugin-node,User,REPORTER-CHEERLEADER-REPORTER,6
42,mysticatea/eslint-plugin-node,User,REPORTER-CHEERLEADER,5
42,mysticatea/eslint-plugin-node,User,COMMENTER-CHEERLEADER,4
42,mysticatea/eslint-plugin-node,User,CHEERLEADER-COMMENTER,4
42,mysticatea/eslint-plugin-node,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,3
42,mysticatea/eslint-plugin-node,User,REPORTER-DEVELOPER-MERGER,3
42,mysticatea/eslint-plugin-node,User,REPORTER-COMMENTER,3
42,mysticatea/eslint-plugin-node,User,REPORTER-DEVELOPER,2
42,mysticatea/eslint-plugin-node,User,REPORTER-CHEERLEADER-COMMENTER,2
42,mysticatea/eslint-plugin-node,User,REPORTER-DEVELOPER-MERGER-REPORTER-DEVELOPER,2
42,mysticatea/eslint-plugin-node,User,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER,2
42,mysticatea/eslint-plugin-node,User,CHEERLEADER-REPORTER,2
42,mysticatea/eslint-plugin-node,User,REPORTER-COMMENTER-REPORTER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-MERGER-DEVELOPER-MERGER-DEVELOPER,1
42,mysticatea/eslint-plugin-node,User,REVIEWER,1
42,mysticatea/eslint-plugin-node,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-MERGER,1
42,mysticatea/eslint-plugin-node,User,CHEERLEADER-DEVELOPER-REVIEWER-DEVELOPER-MERGER,1
42,mysticatea/eslint-plugin-node,User,REPORTER-DEVELOPER-REVIEWER-CHEERLEADER-DEVELOPER,1
42,mysticatea/eslint-plugin-node,User,COMMENTER-REPORTER-CHEERLEADER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-MERGER-DEVELOPER-REPORTER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-MERGER-CHEERLEADER-DEVELOPER-MERGER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-CHEERLEADER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-MERGER-CHEERLEADER,1
42,mysticatea/eslint-plugin-node,User,CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER-COMMENTER,1
42,mysticatea/eslint-plugin-node,User,COMMENTER-DEVELOPER-CHEERLEADER,1
42,mysticatea/eslint-plugin-node,User,COMMENTER-REPORTER-CHEERLEADER-REPORTER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-REVIEWER-CHEERLEADER-REVIEWER-CHEERLEADER,1
42,mysticatea/eslint-plugin-node,User,CHEERLEADER-DEVELOPER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-COMMENTER-REPORTER-DEVELOPER-REPORTER,1
42,mysticatea/eslint-plugin-node,User,CHEERLEADER-COMMENTER-CHEERLEADER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-REVIEWER-DEVELOPER,1
42,mysticatea/eslint-plugin-node,User,REPORTER-DEVELOPER-MERGER-REPORTER,1
42,mysticatea/eslint-plugin-node,User,REPORTER-DEVELOPER-MERGER-CHEERLEADER,1
42,mysticatea/eslint-plugin-node,User,REPORTER-DEVELOPER-MERGER-DEVELOPER-REPORTER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-REPORTER-DEVELOPER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-MERGER-COMMENTER,1
42,mysticatea/eslint-plugin-node,User,COMMENTER-CHEERLEADER-COMMENTER-REPORTER-COMMENTER,1
42,mysticatea/eslint-plugin-node,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-COMMENTER-CHEERLEADER,1
42,mysticatea/eslint-plugin-node,User,COMMENTER-CHEERLEADER-COMMENTER,1
42,mysticatea/eslint-plugin-node,User,DEVELOPER-MERGER-DEVELOPER-CHEERLEADER,1
