index,repo,repoType,path,count
46,sindresorhus/conf,User,REPORTER,34
46,sindresorhus/conf,User,CHEERLEADER,23
46,sindresorhus/conf,User,COMMENTER,18
46,sindresorhus/conf,User,DEVELOPER,10
46,sindresorhus/conf,User,DEVELOPER-MERGER,7
46,sindresorhus/conf,User,CHEERLEADER-COMMENTER,6
46,sindresorhus/conf,User,DEVELOPER-REVIEWER-MERGER,2
46,sindresorhus/conf,User,DEVELOPER-REVIEWER,2
46,sindresorhus/conf,User,REPORTER-DEVELOPER-MERGER,2
46,sindresorhus/conf,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,2
46,sindresorhus/conf,User,REPORTER-CHEERLEADER,2
46,sindresorhus/conf,User,REPORTER-DEVELOPER,2
46,sindresorhus/conf,User,DEVELOPER-MERGER-DEVELOPER-REVIEWER-MERGER,1
46,sindresorhus/conf,User,REPORTER-DEVELOPER-REVIEWER-DEVELOPER-MERGER,1
46,sindresorhus/conf,User,REPORTER-DEVELOPER-REPORTER,1
46,sindresorhus/conf,User,COMMENTER-REPORTER-DEVELOPER-MERGER-DEVELOPER,1
46,sindresorhus/conf,User,CHEERLEADER-DEVELOPER-REVIEWER-COMMENTER-MERGER,1
46,sindresorhus/conf,User,COMMENTER-REVIEWER-DEVELOPER-CHEERLEADER-REVIEWER,1
46,sindresorhus/conf,User,DEVELOPER-MERGER-DEVELOPER-CHEERLEADER-REVIEWER,1
46,sindresorhus/conf,User,REPORTER-DEVELOPER-REPORTER-MERGER,1
46,sindresorhus/conf,User,DEVELOPER-REPORTER-CHEERLEADER,1
46,sindresorhus/conf,User,DEVELOPER-REVIEWER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
46,sindresorhus/conf,User,DEVELOPER-MERGER-REVIEWER,1
46,sindresorhus/conf,User,CHEERLEADER-COMMENTER-CHEERLEADER,1
46,sindresorhus/conf,User,DEVELOPER-REVIEWER-CHEERLEADER,1
46,sindresorhus/conf,User,CHEERLEADER-COMMENTER-DEVELOPER-MERGER-REVIEWER,1
46,sindresorhus/conf,User,DEVELOPER-COMMENTER,1
46,sindresorhus/conf,User,COMMENTER-CHEERLEADER-COMMENTER-REVIEWER-CHEERLEADER,1
46,sindresorhus/conf,User,DEVELOPER-REVIEWER-DEVELOPER-MERGER-DEVELOPER,1
46,sindresorhus/conf,User,REPORTER-COMMENTER-CHEERLEADER,1
46,sindresorhus/conf,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-REPORTER,1
46,sindresorhus/conf,User,REVIEWER-COMMENTER-REVIEWER,1
46,sindresorhus/conf,User,DEVELOPER-REVIEWER-DEVELOPER-MERGER-CHEERLEADER,1
46,sindresorhus/conf,User,DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER-REVIEWER,1
46,sindresorhus/conf,User,REVIEWER-CHEERLEADER-REVIEWER-COMMENTER-CHEERLEADER,1
46,sindresorhus/conf,User,DEVELOPER-REVIEWER-MERGER-DEVELOPER,1
46,sindresorhus/conf,User,CHEERLEADER-COMMENTER-DEVELOPER-REVIEWER-CHEERLEADER,1
46,sindresorhus/conf,User,DEVELOPER-CHEERLEADER,1
46,sindresorhus/conf,User,REPORTER-CHEERLEADER-REPORTER,1
46,sindresorhus/conf,User,REVIEWER-CHEERLEADER-REVIEWER-CHEERLEADER-REVIEWER,1
46,sindresorhus/conf,User,COMMENTER-DEVELOPER,1
46,sindresorhus/conf,User,COMMENTER-CHEERLEADER-COMMENTER,1
46,sindresorhus/conf,User,REVIEWER,1
46,sindresorhus/conf,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-DEVELOPER,1
46,sindresorhus/conf,User,DEVELOPER-CHEERLEADER-REVIEWER-CHEERLEADER-REVIEWER,1
46,sindresorhus/conf,User,DEVELOPER-MERGER-CHEERLEADER,1
46,sindresorhus/conf,User,CHEERLEADER-REVIEWER-CHEERLEADER-REVIEWER,1
46,sindresorhus/conf,User,DEVELOPER-MERGER-DEVELOPER-MERGER-DEVELOPER,1
46,sindresorhus/conf,User,REPORTER-COMMENTER,1
