index,repo,repoType,path,count
50,sindresorhus/pretty-ms,User,REPORTER,14
50,sindresorhus/pretty-ms,User,DEVELOPER-MERGER,7
50,sindresorhus/pretty-ms,User,CHEERLEADER,6
50,sindresorhus/pretty-ms,User,DEVELOPER,4
50,sindresorhus/pretty-ms,User,COMMENTER,3
50,sindresorhus/pretty-ms,User,REPORTER-CHEERLEADER,2
50,sindresorhus/pretty-ms,User,REPORTER-REVIEWER-COMMENTER,1
50,sindresorhus/pretty-ms,User,REPORTER-CHEERLEADER-REPORTER,1
50,sindresorhus/pretty-ms,User,REPORTER-COMMENTER,1
50,sindresorhus/pretty-ms,User,DEVELOPER-REVIEWER-MERGER,1
50,sindresorhus/pretty-ms,User,CHEERLEADER-REPORTER,1
50,sindresorhus/pretty-ms,User,COMMENTER-CHEERLEADER,1
50,sindresorhus/pretty-ms,User,REPORTER-DEVELOPER-COMMENTER-CHEERLEADER-DEVELOPER,1
50,sindresorhus/pretty-ms,User,CHEERLEADER-COMMENTER,1
50,sindresorhus/pretty-ms,User,DEVELOPER-COMMENTER-DEVELOPER-REVIEWER-MERGER,1
50,sindresorhus/pretty-ms,User,COMMENTER-DEVELOPER-COMMENTER-REPORTER-MERGER,1
50,sindresorhus/pretty-ms,User,REPORTER-DEVELOPER-MERGER,1
50,sindresorhus/pretty-ms,User,REPORTER-DEVELOPER-REVIEWER-DEVELOPER-MERGER,1
50,sindresorhus/pretty-ms,User,REPORTER-DEVELOPER-REPORTER-REVIEWER-MERGER,1
50,sindresorhus/pretty-ms,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
50,sindresorhus/pretty-ms,User,DEVELOPER-REPORTER-DEVELOPER-REVIEWER-DEVELOPER,1
