index,repo,repoType,path,count
54,sindresorhus/crypto-hash,User,REPORTER,5
54,sindresorhus/crypto-hash,User,DEVELOPER-MERGER,2
54,sindresorhus/crypto-hash,User,COMMENTER,1
54,sindresorhus/crypto-hash,User,REPORTER-CHEERLEADER,1
54,sindresorhus/crypto-hash,User,REPORTER-DEVELOPER-MERGER,1
54,sindresorhus/crypto-hash,User,DEVELOPER,1
54,sindresorhus/crypto-hash,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
54,sindresorhus/crypto-hash,User,DEVELOPER-REPORTER-DEVELOPER,1
54,sindresorhus/crypto-hash,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER-DEVELOPER,1
54,sindresorhus/crypto-hash,User,DEVELOPER-CHEERLEADER,1
54,sindresorhus/crypto-hash,User,CHEERLEADER,1
