index,repo,repoType,path,count
56,sindresorhus/normalize-url,User,REPORTER,29
56,sindresorhus/normalize-url,User,COMMENTER,16
56,sindresorhus/normalize-url,User,DEVELOPER,14
56,sindresorhus/normalize-url,User,CHEERLEADER,12
56,sindresorhus/normalize-url,User,DEVELOPER-MERGER,5
56,sindresorhus/normalize-url,User,REPORTER-DEVELOPER,3
56,sindresorhus/normalize-url,User,DEVELOPER-MERGER-DEVELOPER,2
56,sindresorhus/normalize-url,User,DEVELOPER-MERGER-DEVELOPER-MERGER,2
56,sindresorhus/normalize-url,User,REPORTER-CHEERLEADER,2
56,sindresorhus/normalize-url,User,DEVELOPER-COMMENTER-MERGER,1
56,sindresorhus/normalize-url,User,REPORTER-DEVELOPER-CHEERLEADER-REVIEWER-CHEERLEADER,1
56,sindresorhus/normalize-url,User,REPORTER-COMMENTER,1
56,sindresorhus/normalize-url,User,DEVELOPER-REVIEWER-DEVELOPER-REPORTER-REVIEWER,1
56,sindresorhus/normalize-url,User,DEVELOPER-COMMENTER-DEVELOPER-MERGER-CHEERLEADER,1
56,sindresorhus/normalize-url,User,CHEERLEADER-COMMENTER,1
56,sindresorhus/normalize-url,User,DEVELOPER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
56,sindresorhus/normalize-url,User,REPORTER-DEVELOPER-MERGER,1
56,sindresorhus/normalize-url,User,COMMENTER-CHEERLEADER,1
56,sindresorhus/normalize-url,User,DEVELOPER-REVIEWER-DEVELOPER-MERGER-DEVELOPER,1
56,sindresorhus/normalize-url,User,REPORTER-REVIEWER-COMMENTER,1
56,sindresorhus/normalize-url,User,REPORTER-DEVELOPER-CHEERLEADER-DEVELOPER-MERGER,1
56,sindresorhus/normalize-url,User,REPORTER-DEVELOPER-REPORTER,1
56,sindresorhus/normalize-url,User,DEVELOPER-CHEERLEADER,1
56,sindresorhus/normalize-url,User,DEVELOPER-COMMENTER-DEVELOPER-MERGER,1
56,sindresorhus/normalize-url,User,COMMENTER-DEVELOPER-COMMENTER,1
56,sindresorhus/normalize-url,User,DEVELOPER-COMMENTER,1
56,sindresorhus/normalize-url,User,COMMENTER-DEVELOPER-CHEERLEADER-DEVELOPER-MERGER,1
56,sindresorhus/normalize-url,User,CHEERLEADER-DEVELOPER-MERGER-DEVELOPER-REVIEWER,1
56,sindresorhus/normalize-url,User,REPORTER-DEVELOPER-REPORTER-MERGER,1
56,sindresorhus/normalize-url,User,REPORTER-CHEERLEADER-REPORTER,1
56,sindresorhus/normalize-url,User,REPORTER-CHEERLEADER-REPORTER-COMMENTER-CHEERLEADER,1
56,sindresorhus/normalize-url,User,CHEERLEADER-COMMENTER-DEVELOPER-REVIEWER-CHEERLEADER,1
56,sindresorhus/normalize-url,User,DEVELOPER-REVIEWER,1
56,sindresorhus/normalize-url,User,COMMENTER-DEVELOPER-COMMENTER-REVIEWER,1
56,sindresorhus/normalize-url,User,REPORTER-DEVELOPER-REPORTER-REVIEWER-MERGER,1
56,sindresorhus/normalize-url,User,DEVELOPER-REPORTER-DEVELOPER-COMMENTER-DEVELOPER,1
56,sindresorhus/normalize-url,User,REPORTER-CHEERLEADER-COMMENTER-DEVELOPER-COMMENTER,1
56,sindresorhus/normalize-url,User,REPORTER-DEVELOPER-REVIEWER-DEVELOPER-REVIEWER,1
56,sindresorhus/normalize-url,User,COMMENTER-REPORTER-DEVELOPER-REVIEWER,1
