index,repo,repoType,path,count
58,imsnif/synp,User,REPORTER,11
58,imsnif/synp,User,CHEERLEADER,10
58,imsnif/synp,User,COMMENTER,9
58,imsnif/synp,User,REPORTER-CHEERLEADER,2
58,imsnif/synp,User,DEVELOPER-MERGER,2
58,imsnif/synp,User,DEVELOPER-MERGER-DEVELOPER-MERGER-DEVELOPER,1
58,imsnif/synp,User,REPORTER-COMMENTER-DEVELOPER-REPORTER-COMMENTER,1
58,imsnif/synp,User,DEVELOPER-MERGER-COMMENTER-DEVELOPER-MERGER,1
58,imsnif/synp,User,DEVELOPER-REVIEWER-MERGER,1
58,imsnif/synp,User,REPORTER-DEVELOPER-MERGER,1
58,imsnif/synp,User,DEVELOPER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
58,imsnif/synp,User,REPORTER-CHEERLEADER-REPORTER-DEVELOPER-REPORTER,1
58,imsnif/synp,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
58,imsnif/synp,User,REPORTER-DEVELOPER-COMMENTER-DEVELOPER-REPORTER,1
58,imsnif/synp,User,DEVELOPER-MERGER-CHEERLEADER,1
58,imsnif/synp,User,CHEERLEADER-REPORTER,1
58,imsnif/synp,User,COMMENTER-CHEERLEADER,1
