index,repo,repoType,path,count
59,ModelDepot/tfjs-yolo-tiny,Organization,REPORTER,13
59,ModelDepot/tfjs-yolo-tiny,Organization,COMMENTER,8
59,ModelDepot/tfjs-yolo-tiny,Organization,REPORTER-CHEERLEADER,3
59,ModelDepot/tfjs-yolo-tiny,Organization,CHEERLEADER,3
59,ModelDepot/tfjs-yolo-tiny,Organization,COMMENTER-CHEERLEADER,2
59,ModelDepot/tfjs-yolo-tiny,Organization,DEVELOPER-COMMENTER-MERGER-DEVELOPER-COMMENTER,1
59,ModelDepot/tfjs-yolo-tiny,Organization,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
59,ModelDepot/tfjs-yolo-tiny,Organization,COMMENTER-REPORTER-COMMENTER-REPORTER,1
59,ModelDepot/tfjs-yolo-tiny,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
59,ModelDepot/tfjs-yolo-tiny,Organization,CHEERLEADER-COMMENTER,1
59,ModelDepot/tfjs-yolo-tiny,Organization,DEVELOPER-CHEERLEADER,1
59,ModelDepot/tfjs-yolo-tiny,Organization,REPORTER-CHEERLEADER-REPORTER,1
59,ModelDepot/tfjs-yolo-tiny,Organization,DEVELOPER,1
