index,repo,repoType,path,count
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER,21
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER,17
60,canonical-web-and-design/vanilla-framework,Organization,CHEERLEADER,7
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,3
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-CHEERLEADER,3
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-MERGER-DEVELOPER-MERGER-DEVELOPER,3
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-COMMENTER-REPORTER-COMMENTER-REPORTER,3
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER,2
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-REPORTER,2
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-MERGER-DEVELOPER-COMMENTER-DEVELOPER,2
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-COMMENTER-DEVELOPER-MERGER-DEVELOPER,2
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-CHEERLEADER,2
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-COMMENTER-DEVELOPER-REPORTER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-COMMENTER-REPORTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-REVIEWER-DEVELOPER-REVIEWER-DEVELOPER,1
60,canonical-web-and-design/vanilla-framework,Organization,CHEERLEADER-REVIEWER-COMMENTER-REVIEWER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-DEVELOPER-MERGER-DEVELOPER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-DEVELOPER-REVIEWER-DEVELOPER-REPORTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-MERGER-DEVELOPER-REPORTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-DEVELOPER-MERGER-COMMENTER-DEVELOPER,1
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-REPORTER-COMMENTER-CHEERLEADER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-REVIEWER-DEVELOPER,1
60,canonical-web-and-design/vanilla-framework,Organization,REVIEWER-DEVELOPER-MERGER-DEVELOPER,1
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-REPORTER-REVIEWER-REPORTER-CHEERLEADER,1
60,canonical-web-and-design/vanilla-framework,Organization,REVIEWER,1
60,canonical-web-and-design/vanilla-framework,Organization,REVIEWER-REPORTER-REVIEWER-COMMENTER-REVIEWER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-COMMENTER-REPORTER-COMMENTER-CHEERLEADER,1
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-REPORTER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-COMMENTER-REPORTER-REVIEWER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-CHEERLEADER-COMMENTER-REPORTER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-DEVELOPER-REPORTER-CHEERLEADER-REPORTER,1
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-CHEERLEADER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-COMMENTER-REPORTER-CHEERLEADER-REPORTER,1
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-DEVELOPER,1
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-COMMENTER-DEVELOPER-MERGER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-COMMENTER-CHEERLEADER,1
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-MERGER,1
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-REPORTER-DEVELOPER-MERGER-DEVELOPER,1
60,canonical-web-and-design/vanilla-framework,Organization,REVIEWER-MERGER-REPORTER-REVIEWER,1
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-REPORTER-REVIEWER-MERGER-REVIEWER,1
60,canonical-web-and-design/vanilla-framework,Organization,REVIEWER-COMMENTER-REPORTER-COMMENTER-REPORTER,1
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-MERGER-REPORTER-COMMENTER-REPORTER,1
60,canonical-web-and-design/vanilla-framework,Organization,COMMENTER-REPORTER-COMMENTER-REPORTER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,DEVELOPER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
60,canonical-web-and-design/vanilla-framework,Organization,REVIEWER-COMMENTER-REVIEWER-COMMENTER-REVIEWER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-DEVELOPER,1
60,canonical-web-and-design/vanilla-framework,Organization,REVIEWER-COMMENTER-REVIEWER-DEVELOPER-COMMENTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-COMMENTER-CHEERLEADER-COMMENTER-REPORTER,1
60,canonical-web-and-design/vanilla-framework,Organization,REPORTER-DEVELOPER-REPORTER-COMMENTER-REPORTER,1
