index,repo,repoType,path,count
62,sindresorhus/electron-better-ipc,User,CHEERLEADER,15
62,sindresorhus/electron-better-ipc,User,COMMENTER,14
62,sindresorhus/electron-better-ipc,User,REPORTER,8
62,sindresorhus/electron-better-ipc,User,CHEERLEADER-COMMENTER-CHEERLEADER,2
62,sindresorhus/electron-better-ipc,User,CHEERLEADER-COMMENTER,2
62,sindresorhus/electron-better-ipc,User,DEVELOPER-CHEERLEADER-MERGER,2
62,sindresorhus/electron-better-ipc,User,DEVELOPER-COMMENTER-REVIEWER-MERGER,1
62,sindresorhus/electron-better-ipc,User,COMMENTER-REPORTER-COMMENTER,1
62,sindresorhus/electron-better-ipc,User,REPORTER-COMMENTER,1
62,sindresorhus/electron-better-ipc,User,CHEERLEADER-COMMENTER-DEVELOPER,1
62,sindresorhus/electron-better-ipc,User,DEVELOPER,1
62,sindresorhus/electron-better-ipc,User,REPORTER-DEVELOPER-REPORTER-CHEERLEADER-DEVELOPER,1
62,sindresorhus/electron-better-ipc,User,DEVELOPER-COMMENTER-MERGER-CHEERLEADER,1
62,sindresorhus/electron-better-ipc,User,REPORTER-DEVELOPER-MERGER-DEVELOPER-COMMENTER,1
62,sindresorhus/electron-better-ipc,User,REPORTER-CHEERLEADER,1
62,sindresorhus/electron-better-ipc,User,DEVELOPER-MERGER-DEVELOPER-MERGER,1
62,sindresorhus/electron-better-ipc,User,REPORTER-CHEERLEADER-REPORTER,1
62,sindresorhus/electron-better-ipc,User,DEVELOPER-MERGER,1
62,sindresorhus/electron-better-ipc,User,COMMENTER-DEVELOPER,1
62,sindresorhus/electron-better-ipc,User,REPORTER-COMMENTER-CHEERLEADER,1
62,sindresorhus/electron-better-ipc,User,DEVELOPER-COMMENTER-DEVELOPER-CHEERLEADER-DEVELOPER,1
62,sindresorhus/electron-better-ipc,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
62,sindresorhus/electron-better-ipc,User,REPORTER-COMMENTER-CHEERLEADER-REPORTER,1
62,sindresorhus/electron-better-ipc,User,DEVELOPER-COMMENTER-REPORTER-DEVELOPER-COMMENTER,1
62,sindresorhus/electron-better-ipc,User,COMMENTER-DEVELOPER-COMMENTER-MERGER-CHEERLEADER,1
62,sindresorhus/electron-better-ipc,User,REPORTER-CHEERLEADER-COMMENTER,1
