index,repo,repoType,path,count
63,sindresorhus/figures,User,REPORTER,9
63,sindresorhus/figures,User,DEVELOPER-MERGER,6
63,sindresorhus/figures,User,COMMENTER,5
63,sindresorhus/figures,User,DEVELOPER,3
63,sindresorhus/figures,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,2
63,sindresorhus/figures,User,REPORTER-DEVELOPER,1
63,sindresorhus/figures,User,DEVELOPER-COMMENTER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
63,sindresorhus/figures,User,COMMENTER-REPORTER-COMMENTER,1
63,sindresorhus/figures,User,REPORTER-COMMENTER,1
63,sindresorhus/figures,User,DEVELOPER-REPORTER-CHEERLEADER-DEVELOPER-MERGER,1
