index,repo,repoType,path,count
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER,212
66,cloudinary/cloudinary_npm,Organization,REPORTER,119
66,cloudinary/cloudinary_npm,Organization,COMMENTER,86
66,cloudinary/cloudinary_npm,Organization,DEVELOPER,14
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER-COMMENTER,14
66,cloudinary/cloudinary_npm,Organization,REPORTER-CHEERLEADER,10
66,cloudinary/cloudinary_npm,Organization,COMMENTER-CHEERLEADER,10
66,cloudinary/cloudinary_npm,Organization,COMMENTER-REPORTER,7
66,cloudinary/cloudinary_npm,Organization,REVIEWER,6
66,cloudinary/cloudinary_npm,Organization,REPORTER-CHEERLEADER-REPORTER,5
66,cloudinary/cloudinary_npm,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,3
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,3
66,cloudinary/cloudinary_npm,Organization,REPORTER-DEVELOPER,3
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,3
66,cloudinary/cloudinary_npm,Organization,COMMENTER-CHEERLEADER-COMMENTER,3
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER-COMMENTER-CHEERLEADER,3
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-MERGER,3
66,cloudinary/cloudinary_npm,Organization,REPORTER-COMMENTER,3
66,cloudinary/cloudinary_npm,Organization,REPORTER-COMMENTER-CHEERLEADER,2
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-REVIEWER-DEVELOPER-MERGER-DEVELOPER,2
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER-REPORTER,2
66,cloudinary/cloudinary_npm,Organization,COMMENTER-DEVELOPER-COMMENTER,2
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-MERGER-DEVELOPER-MERGER-DEVELOPER,2
66,cloudinary/cloudinary_npm,Organization,COMMENTER-DEVELOPER-MERGER-COMMENTER-CHEERLEADER,2
66,cloudinary/cloudinary_npm,Organization,REPORTER-COMMENTER-REPORTER,2
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,2
66,cloudinary/cloudinary_npm,Organization,REPORTER-DEVELOPER-REPORTER,2
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-MERGER-DEVELOPER-MERGER,2
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-REVIEWER-MERGER,1
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER-REPORTER,1
66,cloudinary/cloudinary_npm,Organization,COMMENTER-CHEERLEADER-DEVELOPER-REPORTER,1
66,cloudinary/cloudinary_npm,Organization,REVIEWER-COMMENTER-CHEERLEADER-REPORTER,1
66,cloudinary/cloudinary_npm,Organization,COMMENTER-REVIEWER-COMMENTER-REVIEWER-COMMENTER,1
66,cloudinary/cloudinary_npm,Organization,REPORTER-DEVELOPER-REPORTER-CHEERLEADER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-COMMENTER-REVIEWER-DEVELOPER-COMMENTER,1
66,cloudinary/cloudinary_npm,Organization,REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-REVIEWER-CHEERLEADER-REVIEWER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-MERGER-DEVELOPER-COMMENTER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-REPORTER-DEVELOPER-MERGER,1
66,cloudinary/cloudinary_npm,Organization,REPORTER-COMMENTER-DEVELOPER-MERGER,1
66,cloudinary/cloudinary_npm,Organization,MERGER-DEVELOPER-COMMENTER-DEVELOPER-MERGER,1
66,cloudinary/cloudinary_npm,Organization,COMMENTER-REPORTER-COMMENTER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-COMMENTER-DEVELOPER,1
66,cloudinary/cloudinary_npm,Organization,REPORTER-CHEERLEADER-REVIEWER,1
66,cloudinary/cloudinary_npm,Organization,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
66,cloudinary/cloudinary_npm,Organization,REPORTER-DEVELOPER-REPORTER-DEVELOPER-MERGER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-COMMENTER-REVIEWER-MERGER-COMMENTER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-COMMENTER-DEVELOPER-MERGER-DEVELOPER,1
66,cloudinary/cloudinary_npm,Organization,MERGER-DEVELOPER,1
66,cloudinary/cloudinary_npm,Organization,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-COMMENTER-MERGER-DEVELOPER-MERGER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-MERGER-DEVELOPER,1
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER-REPORTER-CHEERLEADER,1
66,cloudinary/cloudinary_npm,Organization,COMMENTER-REPORTER-CHEERLEADER,1
66,cloudinary/cloudinary_npm,Organization,CHEERLEADER-DEVELOPER-MERGER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-MERGER-REPORTER-DEVELOPER,1
66,cloudinary/cloudinary_npm,Organization,DEVELOPER-MERGER-DEVELOPER-REVIEWER-DEVELOPER,1
66,cloudinary/cloudinary_npm,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
66,cloudinary/cloudinary_npm,Organization,COMMENTER-DEVELOPER-REVIEWER-COMMENTER-REVIEWER,1
66,cloudinary/cloudinary_npm,Organization,REPORTER-DEVELOPER-MERGER,1
