index,repo,repoType,path,count
67,Klemen1337/node-thermal-printer,User,REPORTER,81
67,Klemen1337/node-thermal-printer,User,COMMENTER,40
67,Klemen1337/node-thermal-printer,User,DEVELOPER,13
67,Klemen1337/node-thermal-printer,User,CHEERLEADER,11
67,Klemen1337/node-thermal-printer,User,REPORTER-COMMENTER,7
67,Klemen1337/node-thermal-printer,User,REPORTER-CHEERLEADER,6
67,Klemen1337/node-thermal-printer,User,COMMENTER-CHEERLEADER,5
67,Klemen1337/node-thermal-printer,User,COMMENTER-REPORTER,3
67,Klemen1337/node-thermal-printer,User,DEVELOPER-COMMENTER,2
67,Klemen1337/node-thermal-printer,User,REPORTER-DEVELOPER,2
67,Klemen1337/node-thermal-printer,User,COMMENTER-REPORTER-COMMENTER,2
67,Klemen1337/node-thermal-printer,User,CHEERLEADER-COMMENTER,2
67,Klemen1337/node-thermal-printer,User,COMMENTER-DEVELOPER,2
67,Klemen1337/node-thermal-printer,User,DEVELOPER-CHEERLEADER,2
67,Klemen1337/node-thermal-printer,User,COMMENTER-CHEERLEADER-COMMENTER,1
67,Klemen1337/node-thermal-printer,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-MERGER,1
67,Klemen1337/node-thermal-printer,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-REVIEWER,1
67,Klemen1337/node-thermal-printer,User,COMMENTER-REPORTER-CHEERLEADER-REPORTER,1
67,Klemen1337/node-thermal-printer,User,COMMENTER-DEVELOPER-COMMENTER-REPORTER-DEVELOPER,1
67,Klemen1337/node-thermal-printer,User,DEVELOPER-COMMENTER-REPORTER-DEVELOPER-REPORTER,1
67,Klemen1337/node-thermal-printer,User,REVIEWER,1
67,Klemen1337/node-thermal-printer,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
67,Klemen1337/node-thermal-printer,User,COMMENTER-REPORTER-COMMENTER-REPORTER,1
67,Klemen1337/node-thermal-printer,User,REPORTER-COMMENTER-REPORTER,1
67,Klemen1337/node-thermal-printer,User,REPORTER-COMMENTER-REPORTER-COMMENTER-REPORTER,1
67,Klemen1337/node-thermal-printer,User,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-COMMENTER,1
67,Klemen1337/node-thermal-printer,User,COMMENTER-DEVELOPER-COMMENTER,1
67,Klemen1337/node-thermal-printer,User,CHEERLEADER-DEVELOPER,1
67,Klemen1337/node-thermal-printer,User,CHEERLEADER-COMMENTER-REPORTER,1
