index,repo,repoType,path,count
68,mysticatea/cpx,User,CHEERLEADER,153
68,mysticatea/cpx,User,REPORTER,30
68,mysticatea/cpx,User,COMMENTER,28
68,mysticatea/cpx,User,CHEERLEADER-COMMENTER,10
68,mysticatea/cpx,User,DEVELOPER,6
68,mysticatea/cpx,User,COMMENTER-CHEERLEADER,3
68,mysticatea/cpx,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,2
68,mysticatea/cpx,User,REPORTER-CHEERLEADER-REPORTER,1
68,mysticatea/cpx,User,DEVELOPER-COMMENTER,1
68,mysticatea/cpx,User,REVIEWER-COMMENTER-DEVELOPER-COMMENTER-CHEERLEADER,1
68,mysticatea/cpx,User,COMMENTER-REPORTER-COMMENTER-CHEERLEADER,1
68,mysticatea/cpx,User,REPORTER-DEVELOPER-MERGER-REPORTER-DEVELOPER,1
68,mysticatea/cpx,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER,1
68,mysticatea/cpx,User,DEVELOPER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
68,mysticatea/cpx,User,CHEERLEADER-REPORTER-DEVELOPER-CHEERLEADER,1
68,mysticatea/cpx,User,CHEERLEADER-COMMENTER-CHEERLEADER,1
68,mysticatea/cpx,User,DEVELOPER-MERGER,1
68,mysticatea/cpx,User,REPORTER-DEVELOPER-REPORTER-MERGER-DEVELOPER,1
68,mysticatea/cpx,User,COMMENTER-CHEERLEADER-COMMENTER,1
68,mysticatea/cpx,User,REPORTER-CHEERLEADER,1
68,mysticatea/cpx,User,COMMENTER-CHEERLEADER-REPORTER,1
68,mysticatea/cpx,User,CHEERLEADER-REVIEWER,1
