index,repo,repoType,path,count
69,sindresorhus/ky-universal,User,REPORTER,9
69,sindresorhus/ky-universal,User,DEVELOPER-MERGER,2
69,sindresorhus/ky-universal,User,REPORTER-CHEERLEADER,2
69,sindresorhus/ky-universal,User,CHEERLEADER,2
69,sindresorhus/ky-universal,User,COMMENTER-CHEERLEADER,1
69,sindresorhus/ky-universal,User,COMMENTER-DEVELOPER-COMMENTER-REVIEWER-DEVELOPER,1
69,sindresorhus/ky-universal,User,REPORTER-DEVELOPER-REPORTER-MERGER-REPORTER,1
69,sindresorhus/ky-universal,User,COMMENTER-DEVELOPER-MERGER,1
69,sindresorhus/ky-universal,User,DEVELOPER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
69,sindresorhus/ky-universal,User,CHEERLEADER-REPORTER,1
69,sindresorhus/ky-universal,User,COMMENTER,1
69,sindresorhus/ky-universal,User,REPORTER-CHEERLEADER-REPORTER,1
69,sindresorhus/ky-universal,User,REPORTER-CHEERLEADER-REVIEWER-CHEERLEADER-REVIEWER,1
69,sindresorhus/ky-universal,User,REVIEWER-COMMENTER-REVIEWER-COMMENTER-REVIEWER,1
69,sindresorhus/ky-universal,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
69,sindresorhus/ky-universal,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
69,sindresorhus/ky-universal,User,DEVELOPER,1
69,sindresorhus/ky-universal,User,REPORTER-COMMENTER,1
69,sindresorhus/ky-universal,User,CHEERLEADER-COMMENTER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
