index,repo,repoType,path,count
71,sindresorhus/eslint-formatter-pretty,User,REPORTER,7
71,sindresorhus/eslint-formatter-pretty,User,DEVELOPER-MERGER,5
71,sindresorhus/eslint-formatter-pretty,User,COMMENTER,3
71,sindresorhus/eslint-formatter-pretty,User,DEVELOPER-MERGER-CHEERLEADER,2
71,sindresorhus/eslint-formatter-pretty,User,CHEERLEADER,2
71,sindresorhus/eslint-formatter-pretty,User,COMMENTER-REPORTER-DEVELOPER-MERGER-REPORTER,1
71,sindresorhus/eslint-formatter-pretty,User,COMMENTER-REVIEWER-COMMENTER-CHEERLEADER-COMMENTER,1
71,sindresorhus/eslint-formatter-pretty,User,DEVELOPER,1
71,sindresorhus/eslint-formatter-pretty,User,DEVELOPER-MERGER-REVIEWER-DEVELOPER-MERGER,1
71,sindresorhus/eslint-formatter-pretty,User,DEVELOPER-CHEERLEADER,1
71,sindresorhus/eslint-formatter-pretty,User,DEVELOPER-REPORTER-REVIEWER,1
71,sindresorhus/eslint-formatter-pretty,User,COMMENTER-DEVELOPER-MERGER-DEVELOPER-REPORTER,1
71,sindresorhus/eslint-formatter-pretty,User,REPORTER-DEVELOPER-CHEERLEADER-DEVELOPER,1
71,sindresorhus/eslint-formatter-pretty,User,CHEERLEADER-DEVELOPER-MERGER-DEVELOPER-COMMENTER,1
71,sindresorhus/eslint-formatter-pretty,User,REPORTER-DEVELOPER-REVIEWER-DEVELOPER-REVIEWER,1
71,sindresorhus/eslint-formatter-pretty,User,DEVELOPER-REPORTER-DEVELOPER-REPORTER-COMMENTER,1
71,sindresorhus/eslint-formatter-pretty,User,DEVELOPER-REVIEWER-DEVELOPER-REVIEWER,1
