index,repo,repoType,path,count
72,sindresorhus/conduct,User,REPORTER,3
72,sindresorhus/conduct,User,DEVELOPER-MERGER,3
72,sindresorhus/conduct,User,CHEERLEADER-COMMENTER,2
72,sindresorhus/conduct,User,COMMENTER,1
72,sindresorhus/conduct,User,DEVELOPER,1
72,sindresorhus/conduct,User,DEVELOPER-MERGER-DEVELOPER-REVIEWER-DEVELOPER,1
72,sindresorhus/conduct,User,REPORTER-CHEERLEADER-DEVELOPER-MERGER,1
72,sindresorhus/conduct,User,DEVELOPER-REVIEWER-DEVELOPER-CHEERLEADER-DEVELOPER,1
72,sindresorhus/conduct,User,DEVELOPER-COMMENTER-REVIEWER-COMMENTER-DEVELOPER,1
72,sindresorhus/conduct,User,DEVELOPER-CHEERLEADER-DEVELOPER,1
72,sindresorhus/conduct,User,DEVELOPER-COMMENTER-DEVELOPER-REVIEWER-COMMENTER,1
72,sindresorhus/conduct,User,DEVELOPER-REVIEWER-MERGER-CHEERLEADER,1
72,sindresorhus/conduct,User,CHEERLEADER,1
