index,repo,repoType,path,count
73,jkrup/meteor-now,User,CHEERLEADER,37
73,jkrup/meteor-now,User,COMMENTER,26
73,jkrup/meteor-now,User,REPORTER,24
73,jkrup/meteor-now,User,COMMENTER-CHEERLEADER,6
73,jkrup/meteor-now,User,CHEERLEADER-COMMENTER,6
73,jkrup/meteor-now,User,DEVELOPER,4
73,jkrup/meteor-now,User,REPORTER-CHEERLEADER,4
73,jkrup/meteor-now,User,COMMENTER-CHEERLEADER-COMMENTER,3
73,jkrup/meteor-now,User,COMMENTER-REPORTER,3
73,jkrup/meteor-now,User,REPORTER-COMMENTER,3
73,jkrup/meteor-now,User,REPORTER-CHEERLEADER-REPORTER-COMMENTER,2
73,jkrup/meteor-now,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,2
73,jkrup/meteor-now,User,CHEERLEADER-COMMENTER-CHEERLEADER,2
73,jkrup/meteor-now,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
73,jkrup/meteor-now,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
73,jkrup/meteor-now,User,CHEERLEADER-REPORTER,1
73,jkrup/meteor-now,User,CHEERLEADER-COMMENTER-DEVELOPER-MERGER-DEVELOPER,1
73,jkrup/meteor-now,User,COMMENTER-REPORTER-COMMENTER-REPORTER-CHEERLEADER,1
73,jkrup/meteor-now,User,COMMENTER-DEVELOPER-CHEERLEADER-COMMENTER-CHEERLEADER,1
73,jkrup/meteor-now,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
73,jkrup/meteor-now,User,CHEERLEADER-REPORTER-COMMENTER,1
73,jkrup/meteor-now,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
73,jkrup/meteor-now,User,REPORTER-CHEERLEADER-REPORTER,1
73,jkrup/meteor-now,User,REPORTER-CHEERLEADER-COMMENTER-REPORTER,1
73,jkrup/meteor-now,User,DEVELOPER-REVIEWER-COMMENTER-DEVELOPER-MERGER,1
73,jkrup/meteor-now,User,REPORTER-COMMENTER-REPORTER-CHEERLEADER,1
73,jkrup/meteor-now,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
73,jkrup/meteor-now,User,CHEERLEADER-REPORTER-CHEERLEADER,1
73,jkrup/meteor-now,User,COMMENTER-DEVELOPER-COMMENTER-REPORTER-DEVELOPER,1
73,jkrup/meteor-now,User,DEVELOPER-COMMENTER-DEVELOPER-CHEERLEADER-COMMENTER,1
73,jkrup/meteor-now,User,DEVELOPER-MERGER-DEVELOPER-REPORTER-DEVELOPER,1
73,jkrup/meteor-now,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-REPORTER,1
73,jkrup/meteor-now,User,DEVELOPER-COMMENTER,1
73,jkrup/meteor-now,User,REPORTER-COMMENTER-REPORTER-COMMENTER-REPORTER,1
73,jkrup/meteor-now,User,MERGER-DEVELOPER-COMMENTER,1
