index,repo,repoType,path,count
78,lucagrulla/node-tail,User,REPORTER,38
78,lucagrulla/node-tail,User,COMMENTER,26
78,lucagrulla/node-tail,User,CHEERLEADER,23
78,lucagrulla/node-tail,User,DEVELOPER,18
78,lucagrulla/node-tail,User,REPORTER-CHEERLEADER,3
78,lucagrulla/node-tail,User,CHEERLEADER-COMMENTER,3
78,lucagrulla/node-tail,User,DEVELOPER-COMMENTER,3
78,lucagrulla/node-tail,User,COMMENTER-REPORTER,3
78,lucagrulla/node-tail,User,REPORTER-DEVELOPER,2
78,lucagrulla/node-tail,User,DEVELOPER-MERGER-DEVELOPER,2
78,lucagrulla/node-tail,User,REPORTER-CHEERLEADER-REPORTER,2
78,lucagrulla/node-tail,User,COMMENTER-REPORTER-DEVELOPER-CHEERLEADER-COMMENTER,1
78,lucagrulla/node-tail,User,REPORTER-CHEERLEADER-REPORTER-DEVELOPER-REPORTER,1
78,lucagrulla/node-tail,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
78,lucagrulla/node-tail,User,DEVELOPER-MERGER,1
78,lucagrulla/node-tail,User,COMMENTER-CHEERLEADER,1
78,lucagrulla/node-tail,User,CHEERLEADER-COMMENTER-CHEERLEADER,1
78,lucagrulla/node-tail,User,COMMENTER-DEVELOPER-COMMENTER-CHEERLEADER,1
78,lucagrulla/node-tail,User,DEVELOPER-COMMENTER-REPORTER-COMMENTER-CHEERLEADER,1
