index,repo,repoType,path,count
79,fulls1z3/ngx-meta,User,CHEERLEADER,44
79,fulls1z3/ngx-meta,User,REPORTER,36
79,fulls1z3/ngx-meta,User,COMMENTER,27
79,fulls1z3/ngx-meta,User,CHEERLEADER-COMMENTER,12
79,fulls1z3/ngx-meta,User,COMMENTER-CHEERLEADER,4
79,fulls1z3/ngx-meta,User,COMMENTER-REPORTER,3
79,fulls1z3/ngx-meta,User,REPORTER-CHEERLEADER,3
79,fulls1z3/ngx-meta,User,DEVELOPER,2
79,fulls1z3/ngx-meta,User,COMMENTER-CHEERLEADER-COMMENTER,2
79,fulls1z3/ngx-meta,User,COMMENTER-REPORTER-COMMENTER-REPORTER-COMMENTER,2
79,fulls1z3/ngx-meta,User,CHEERLEADER-COMMENTER-CHEERLEADER,2
79,fulls1z3/ngx-meta,User,REPORTER-COMMENTER,2
79,fulls1z3/ngx-meta,User,DEVELOPER-MERGER-DEVELOPER-MERGER-DEVELOPER,1
79,fulls1z3/ngx-meta,User,CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
79,fulls1z3/ngx-meta,User,CHEERLEADER-REPORTER,1
79,fulls1z3/ngx-meta,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
79,fulls1z3/ngx-meta,User,REPORTER-COMMENTER-REPORTER-COMMENTER,1
79,fulls1z3/ngx-meta,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
79,fulls1z3/ngx-meta,User,CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER,1
79,fulls1z3/ngx-meta,User,COMMENTER-REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,1
79,fulls1z3/ngx-meta,User,CHEERLEADER-REPORTER-CHEERLEADER,1
79,fulls1z3/ngx-meta,User,DEVELOPER-MERGER-DEVELOPER-REVIEWER-DEVELOPER,1
79,fulls1z3/ngx-meta,User,CHEERLEADER-COMMENTER-REPORTER-CHEERLEADER-COMMENTER,1
79,fulls1z3/ngx-meta,User,DEVELOPER-MERGER,1
