index,repo,repoType,path,count
82,sindresorhus/alfred-emoj,User,REPORTER,13
82,sindresorhus/alfred-emoj,User,CHEERLEADER,8
82,sindresorhus/alfred-emoj,User,COMMENTER,6
82,sindresorhus/alfred-emoj,User,REPORTER-COMMENTER,2
82,sindresorhus/alfred-emoj,User,REPORTER-DEVELOPER-REPORTER,1
82,sindresorhus/alfred-emoj,User,REPORTER-CHEERLEADER,1
82,sindresorhus/alfred-emoj,User,DEVELOPER-MERGER-DEVELOPER-REVIEWER-MERGER,1
82,sindresorhus/alfred-emoj,User,REPORTER-CHEERLEADER-REPORTER,1
82,sindresorhus/alfred-emoj,User,COMMENTER-CHEERLEADER,1
82,sindresorhus/alfred-emoj,User,REPORTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
82,sindresorhus/alfred-emoj,User,DEVELOPER,1
82,sindresorhus/alfred-emoj,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-COMMENTER,1
82,sindresorhus/alfred-emoj,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
