index,repo,repoType,path,count
83,Rob--/memoryjs,User,REPORTER,17
83,Rob--/memoryjs,User,CHEERLEADER,15
83,Rob--/memoryjs,User,COMMENTER,13
83,Rob--/memoryjs,User,REPORTER-CHEERLEADER-REPORTER,5
83,Rob--/memoryjs,User,COMMENTER-CHEERLEADER,5
83,Rob--/memoryjs,User,DEVELOPER,4
83,Rob--/memoryjs,User,REPORTER-CHEERLEADER,4
83,Rob--/memoryjs,User,CHEERLEADER-COMMENTER,3
83,Rob--/memoryjs,User,REPORTER-COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,1
83,Rob--/memoryjs,User,REPORTER-CHEERLEADER-COMMENTER,1
83,Rob--/memoryjs,User,CHEERLEADER-REPORTER-DEVELOPER-CHEERLEADER-REPORTER,1
83,Rob--/memoryjs,User,REPORTER-COMMENTER-CHEERLEADER-REPORTER-CHEERLEADER,1
83,Rob--/memoryjs,User,REPORTER-DEVELOPER-REPORTER-DEVELOPER-REPORTER,1
83,Rob--/memoryjs,User,DEVELOPER-COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
83,Rob--/memoryjs,User,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
83,Rob--/memoryjs,User,COMMENTER-CHEERLEADER-COMMENTER,1
83,Rob--/memoryjs,User,CHEERLEADER-COMMENTER-REPORTER-DEVELOPER,1
83,Rob--/memoryjs,User,COMMENTER-CHEERLEADER-DEVELOPER,1
83,Rob--/memoryjs,User,REPORTER-DEVELOPER-CHEERLEADER-DEVELOPER-CHEERLEADER,1
83,Rob--/memoryjs,User,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER-REPORTER,1
83,Rob--/memoryjs,User,REPORTER-COMMENTER-REPORTER-CHEERLEADER-REPORTER,1
83,Rob--/memoryjs,User,DEVELOPER-COMMENTER,1
83,Rob--/memoryjs,User,DEVELOPER-REPORTER-CHEERLEADER-DEVELOPER-REPORTER,1
83,Rob--/memoryjs,User,CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
83,Rob--/memoryjs,User,REPORTER-COMMENTER,1
83,Rob--/memoryjs,User,REPORTER-COMMENTER-CHEERLEADER-REPORTER-COMMENTER,1
83,Rob--/memoryjs,User,COMMENTER-REPORTER,1
