index,repo,repoType,path,count
84,squirrellyjs/squirrelly,Organization,COMMENTER,37
84,squirrellyjs/squirrelly,Organization,REPORTER,18
84,squirrellyjs/squirrelly,Organization,DEVELOPER,16
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER,16
84,squirrellyjs/squirrelly,Organization,CHEERLEADER,10
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER-COMMENTER-CHEERLEADER,3
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER-COMMENTER,3
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-COMMENTER,3
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER-CHEERLEADER,2
84,squirrellyjs/squirrelly,Organization,REPORTER-CHEERLEADER-REPORTER,2
84,squirrellyjs/squirrelly,Organization,COMMENTER-CHEERLEADER-DEVELOPER,2
84,squirrellyjs/squirrelly,Organization,REPORTER-CHEERLEADER,2
84,squirrellyjs/squirrelly,Organization,COMMENTER-CHEERLEADER,2
84,squirrellyjs/squirrelly,Organization,CHEERLEADER-COMMENTER-CHEERLEADER,2
84,squirrellyjs/squirrelly,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER,2
84,squirrellyjs/squirrelly,Organization,REPORTER-CHEERLEADER-REPORTER-CHEERLEADER,2
84,squirrellyjs/squirrelly,Organization,DEVELOPER-REPORTER-DEVELOPER-REPORTER-DEVELOPER,1
84,squirrellyjs/squirrelly,Organization,CHEERLEADER-COMMENTER,1
84,squirrellyjs/squirrelly,Organization,REPORTER-COMMENTER-REPORTER,1
84,squirrellyjs/squirrelly,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER,1
84,squirrellyjs/squirrelly,Organization,REPORTER-DEVELOPER-REPORTER-CHEERLEADER-DEVELOPER,1
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER-CHEERLEADER-COMMENTER,1
84,squirrellyjs/squirrelly,Organization,COMMENTER-CHEERLEADER-COMMENTER,1
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-REVIEWER,1
84,squirrellyjs/squirrelly,Organization,REPORTER-CHEERLEADER-REPORTER-DEVELOPER-CHEERLEADER,1
84,squirrellyjs/squirrelly,Organization,COMMENTER-DEVELOPER-COMMENTER-DEVELOPER-MERGER,1
84,squirrellyjs/squirrelly,Organization,DEVELOPER-COMMENTER-REVIEWER-DEVELOPER-CHEERLEADER,1
84,squirrellyjs/squirrelly,Organization,DEVELOPER-REPORTER-DEVELOPER-REPORTER-COMMENTER,1
84,squirrellyjs/squirrelly,Organization,DEVELOPER-COMMENTER-DEVELOPER,1
84,squirrellyjs/squirrelly,Organization,DEVELOPER-CHEERLEADER-DEVELOPER,1
