index,repo,repoType,path,count
86,sindresorhus/alfred-npms,User,REPORTER,11
86,sindresorhus/alfred-npms,User,COMMENTER,4
86,sindresorhus/alfred-npms,User,CHEERLEADER,4
86,sindresorhus/alfred-npms,User,REPORTER-CHEERLEADER,3
86,sindresorhus/alfred-npms,User,DEVELOPER-CHEERLEADER-DEVELOPER-CHEERLEADER-REVIEWER,1
86,sindresorhus/alfred-npms,User,COMMENTER-CHEERLEADER-DEVELOPER-MERGER-DEVELOPER,1
86,sindresorhus/alfred-npms,User,COMMENTER-CHEERLEADER,1
86,sindresorhus/alfred-npms,User,COMMENTER-REVIEWER-COMMENTER,1
86,sindresorhus/alfred-npms,User,DEVELOPER,1
86,sindresorhus/alfred-npms,User,COMMENTER-CHEERLEADER-COMMENTER,1
86,sindresorhus/alfred-npms,User,DEVELOPER-MERGER,1
86,sindresorhus/alfred-npms,User,DEVELOPER-MERGER-DEVELOPER-REVIEWER-DEVELOPER,1
86,sindresorhus/alfred-npms,User,DEVELOPER-COMMENTER-CHEERLEADER-DEVELOPER-COMMENTER,1
