index,repo,repoType,path,count
96,shelfio/jest-mongodb,Organization,CHEERLEADER,40
96,shelfio/jest-mongodb,Organization,REPORTER,21
96,shelfio/jest-mongodb,Organization,COMMENTER,18
96,shelfio/jest-mongodb,Organization,DEVELOPER,5
96,shelfio/jest-mongodb,Organization,REPORTER-CHEERLEADER,5
96,shelfio/jest-mongodb,Organization,CHEERLEADER-COMMENTER,3
96,shelfio/jest-mongodb,Organization,COMMENTER-CHEERLEADER,2
96,shelfio/jest-mongodb,Organization,COMMENTER-CHEERLEADER-COMMENTER,2
96,shelfio/jest-mongodb,Organization,CHEERLEADER-COMMENTER-CHEERLEADER,2
96,shelfio/jest-mongodb,Organization,REPORTER-DEVELOPER,2
96,shelfio/jest-mongodb,Organization,DEVELOPER-COMMENTER,1
96,shelfio/jest-mongodb,Organization,COMMENTER-CHEERLEADER-COMMENTER-CHEERLEADER-COMMENTER,1
96,shelfio/jest-mongodb,Organization,REPORTER-CHEERLEADER-REPORTER-COMMENTER,1
96,shelfio/jest-mongodb,Organization,REPORTER-CHEERLEADER-REPORTER,1
96,shelfio/jest-mongodb,Organization,REPORTER-COMMENTER,1
96,shelfio/jest-mongodb,Organization,CHEERLEADER-DEVELOPER-CHEERLEADER,1
96,shelfio/jest-mongodb,Organization,DEVELOPER-REPORTER-DEVELOPER-REPORTER-CHEERLEADER,1
96,shelfio/jest-mongodb,Organization,DEVELOPER-MERGER-REVIEWER-COMMENTER-REVIEWER,1
96,shelfio/jest-mongodb,Organization,DEVELOPER-REPORTER-DEVELOPER,1
96,shelfio/jest-mongodb,Organization,DEVELOPER-MERGER-DEVELOPER-MERGER-DEVELOPER,1
96,shelfio/jest-mongodb,Organization,REPORTER-COMMENTER-DEVELOPER-REVIEWER,1
96,shelfio/jest-mongodb,Organization,CHEERLEADER-REPORTER,1
96,shelfio/jest-mongodb,Organization,DEVELOPER-COMMENTER-CHEERLEADER-MERGER-DEVELOPER,1
